['522', 'Dempster', '5', '20210504 15:25:52']
['513', 'Southport', '1', '20210504 15:27:37']
['515', 'LaSalle/Van Buren', '5', '20210504 15:27:27']
['518', 'Belmont', '5', '20210504 15:27:30']
['522', 'Main', '5', '20210504 15:27:21']
['509', 'Foster', '1', '20210504 15:28:18']
['513', 'Paulina', '1', '20210504 15:28:28']
['515', 'LaSalle/Van Buren', '5', '20210504 15:28:08']
['518', 'Wellington', '5', '20210504 15:28:22']
['519', 'Merchandise Mart', '5', '20210504 15:28:32']
['522', 'Main', '5', '20210504 15:28:19']
['513', 'Addison', '1', '20210504 15:28:58']
['514', 'Sedgwick', '1', '20210504 15:29:32']
['515', 'Quincy', '5', '20210504 15:29:10']
['518', 'Diversey', '5', '20210504 15:29:29']
['519', 'Merchandise Mart', '5', '20210504 15:29:19']
['520', 'Wilson', '5', '20210504 15:29:34']
['522', 'South Boulevard', '5', '20210504 15:29:12']
['509', 'Central', '1', '20210504 15:30:26']
['514', 'Sedgwick', '1', '20210504 15:30:39']
['515', 'Washington/Wells', '5', '20210504 15:30:31']
['518', 'Diversey', '5', '20210504 15:30:29']
['522', 'Howard', '5', '20210504 15:29:52']
['509', 'Linden', '1', '20210504 15:30:47']
['513', 'Irving Park', '1', '20210504 15:31:14']
['515', 'Washington/Wells', '5', '20210504 15:31:35']
['519', 'Clark/Lake', '5', '20210504 15:31:31']
['523', 'Central', '5', '20210504 15:31:32']
['509', 'Linden', '1', '20210504 15:31:56']
['519', 'State/Lake', '5', '20210504 15:32:13']
['520', 'Sheridan', '5', '20210504 15:32:17']
['523', 'Central', '5', '20210504 15:32:03']
['514', 'Armitage', '1', '20210504 15:33:14']
['515', 'Merchandise Mart', '1', '20210504 15:32:46']
['518', 'Armitage', '5', '20210504 15:33:35']
['520', 'Sheridan', '5', '20210504 15:32:17']
['514', 'Armitage', '1', '20210504 15:34:36']
['515', 'Merchandise Mart', '1', '20210504 15:34:09']
['519', 'Washington/Wabash', '5', '20210504 15:34:27']
['523', 'Davis', '5', '20210504 15:34:27']
['514', 'Fullerton', '1', '20210504 15:35:37']
['519', 'Adams/Wabash', '5', '20210504 15:35:15']
['523', 'Davis', '5', '20210504 15:35:28']
['514', 'Fullerton', '1', '20210504 15:36:17']
['515', 'Chicago', '1', '20210504 15:36:12']
['523', 'Davis', '5', '20210504 15:36:06']
['518', 'Sedgwick', '5', '20210504 15:37:31']
['519', 'LaSalle/Van Buren', '5', '20210504 15:37:38']
['523', 'Dempster', '5', '20210504 15:37:30']
['514', 'Diversey', '1', '20210504 15:38:37']
['519', 'LaSalle/Van Buren', '5', '20210504 15:38:39']
['522', 'Wilson', '5', '20210504 15:38:32']
['523', 'Dempster', '5', '20210504 15:37:30']
['513', 'Main', '1', '20210504 15:39:33']
['514', 'Wellington', '1', '20210504 15:39:00']
['515', 'Sedgwick', '1', '20210504 15:39:32']
['518', 'Chicago', '5', '20210504 15:39:34']
['519', 'Quincy', '5', '20210504 15:39:05']
['523', 'Main', '5', '20210504 15:38:58']
['513', 'Main', '1', '20210504 15:40:32']
['514', 'Wellington', '1', '20210504 15:40:31']
['518', 'Chicago', '5', '20210504 15:40:20']
['519', 'Washington/Wells', '5', '20210504 15:40:15']
['520', 'Diversey', '5', '20210504 15:40:35']
['523', 'South Boulevard', '5', '20210504 15:40:18']
['513', 'Dempster', '1', '20210504 15:40:59']
['514', 'Belmont', '1', '20210504 15:41:34']
['522', 'Sheridan', '5', '20210504 15:41:04']
['523', 'Howard', '5', '20210504 15:41:32']
['507', 'Central', '5', '20210504 15:42:22']
['515', 'Armitage', '1', '20210504 15:42:24']
['518', 'Merchandise Mart', '5', '20210504 15:42:24']
['519', 'Merchandise Mart', '1', '20210504 15:42:35']
['520', 'Fullerton', '5', '20210504 15:42:38']
['522', 'Sheridan', '5', '20210504 15:42:32']
['523', 'Howard', '5', '20210504 15:42:34']
['507', 'Central', '5', '20210504 15:43:10']
