['520', 'South Boulevard', '5', '20210503 15:17:30']
['513', 'Fullerton', '1', '20210503 15:18:35']
['515', 'State/Lake', '5', '20210503 15:18:38']
['519', 'Fullerton', '5', '20210503 15:18:37']
['520', 'Howard', '5', '20210503 15:18:14']
['514', 'Washington/Wells', '5', '20210503 15:19:35']
['515', 'Washington/Wabash', '5', '20210503 15:19:40']
['518', 'Sheridan', '5', '20210503 15:19:33']
['507', 'Noyes', '1', '20210503 15:20:13']
['513', 'Diversey', '1', '20210503 15:20:35']
['515', 'Adams/Wabash', '5', '20210503 15:20:36']
['518', 'Sheridan', '5', '20210503 15:19:33']
['513', 'Wellington', '1', '20210503 15:22:32']
['515', 'Harold Washington Library-State/Van Buren', '5', '20210503 15:22:34']
['522', 'Central', '5', '20210503 15:22:18']
['507', 'Linden', '1', '20210503 15:23:34']
['509', 'South Boulevard', '1', '20210503 15:23:17']
['514', 'Chicago', '1', '20210503 15:23:33']
['515', 'LaSalle/Van Buren', '5', '20210503 15:23:08']
['519', 'Sedgwick', '5', '20210503 15:23:21']
['522', 'Central', '5', '20210503 15:23:06']
['507', 'Linden', '1', '20210503 15:24:28']
['514', 'Chicago', '1', '20210503 15:24:35']
['509', 'Dempster', '1', '20210503 15:25:06']
['515', 'Washington/Wells', '5', '20210503 15:25:32']
['518', 'Belmont', '5', '20210503 15:25:22']
['522', 'Noyes', '5', '20210503 15:25:25']
['515', 'Washington/Wells', '5', '20210503 15:26:35']
['518', 'Wellington', '5', '20210503 15:26:31']
['519', 'Chicago', '5', '20210503 15:26:37']
['522', 'Davis', '5', '20210503 15:26:35']
['514', 'Sedgwick', '1', '20210503 15:27:31']
['518', 'Diversey', '5', '20210503 15:27:30']
['519', 'Chicago', '5', '20210503 15:27:26']
['522', 'Davis', '5', '20210503 15:27:18']
['509', 'Foster', '1', '20210503 15:28:36']
['515', 'Merchandise Mart', '1', '20210503 15:28:13']
['518', 'Diversey', '5', '20210503 15:28:32']
['522', 'Davis', '5', '20210503 15:28:31']
['509', 'Noyes', '1', '20210503 15:28:59']
['519', 'Merchandise Mart', '5', '20210503 15:29:36']
['515', 'Chicago', '1', '20210503 15:30:23']
['520', 'Wilson', '5', '20210503 15:30:29']
['522', 'Main', '5', '20210503 15:30:27']
['514', 'Armitage', '1', '20210503 15:31:29']
['519', 'Clark/Lake', '5', '20210503 15:31:39']
['522', 'Main', '5', '20210503 15:31:32']
['509', 'Linden', '1', '20210503 15:32:25']
['518', 'Armitage', '5', '20210503 15:32:38']
['519', 'State/Lake', '5', '20210503 15:32:11']
['520', 'Sheridan', '5', '20210503 15:32:23']
['522', 'South Boulevard', '5', '20210503 15:32:26']
['523', 'Central', '5', '20210503 15:32:03']
['509', 'Linden', '1', '20210503 15:33:19']
['514', 'Fullerton', '1', '20210503 15:33:15']
['515', 'Sedgwick', '1', '20210503 15:33:37']
['520', 'Sheridan', '5', '20210503 15:32:23']
