['522', 'Dempster', '5', '20210506 15:28:39']
['515', 'Sedgwick', '1', '20210506 15:30:38']
['522', 'Main', '5', '20210506 15:30:34']
['514', 'Diversey', '1', '20210506 15:31:31']
['519', 'Clark/Lake', '5', '20210506 15:31:26']
['520', 'Sheridan', '5', '20210506 15:31:37']
['522', 'Main', '5', '20210506 15:31:35']
['523', 'Central', '5', '20210506 15:31:12']
['509', 'Linden', '1', '20210506 15:32:23']
['514', 'Wellington', '1', '20210506 15:32:20']
['518', 'Sedgwick', '5', '20210506 15:32:15']
['519', 'State/Lake', '5', '20210506 15:32:12']
['520', 'Sheridan', '5', '20210506 15:31:37']
['522', 'South Boulevard', '5', '20210506 15:32:28']
['523', 'Central', '5', '20210506 15:32:02']
['509', 'Linden', '1', '20210506 15:33:40']
['514', 'Wellington', '1', '20210506 15:33:30']
['515', 'Armitage', '1', '20210506 15:33:17']
['522', 'Howard', '5', '20210506 15:33:12']
['514', 'Belmont', '1', '20210506 15:34:32']
['515', 'Armitage', '1', '20210506 15:34:28']
['519', 'Washington/Wabash', '5', '20210506 15:34:36']
['523', 'Davis', '5', '20210506 15:34:14']
['518', 'Chicago', '5', '20210506 15:35:32']
['519', 'Adams/Wabash', '5', '20210506 15:35:39']
['520', 'Belmont', '5', '20210506 15:35:36']
['523', 'Davis', '5', '20210506 15:35:24']
['518', 'Chicago', '5', '20210506 15:36:24']
['519', 'Harold Washington Library-State/Van Buren', '5', '20210506 15:36:37']
['520', 'Wellington', '5', '20210506 15:36:13']
['523', 'Davis', '5', '20210506 15:35:58']
['513', 'South Boulevard', '1', '20210506 15:37:29']
['515', 'Diversey', '1', '20210506 15:37:35']
['519', 'LaSalle/Van Buren', '5', '20210506 15:37:26']
['520', 'Diversey', '5', '20210506 15:37:37']
['513', 'Main', '1', '20210506 15:38:35']
['515', 'Diversey', '1', '20210506 15:38:25']
['518', 'Merchandise Mart', '5', '20210506 15:38:32']
['519', 'Quincy', '5', '20210506 15:38:37']
['520', 'Diversey', '5', '20210506 15:38:34']
['513', 'Main', '1', '20210506 15:39:28']
['515', 'Wellington', '1', '20210506 15:39:30']
['519', 'Quincy', '5', '20210506 15:39:37']
['520', 'Fullerton', '5', '20210506 15:39:08']
['523', 'Main', '5', '20210506 15:39:01']
['513', 'Dempster', '1', '20210506 15:39:55']
['515', 'Belmont', '1', '20210506 15:40:20']
['518', 'Clark/Lake', '5', '20210506 15:40:38']
['519', 'Washington/Wells', '5', '20210506 15:40:39']
['523', 'South Boulevard', '5', '20210506 15:40:26']
['518', 'State/Lake', '5', '20210506 15:41:22']
['519', 'Merchandise Mart', '1', '20210506 15:41:34']
['520', 'Armitage', '5', '20210506 15:41:26']
['522', 'Wilson', '5', '20210506 15:41:17']
['523', 'Howard', '5', '20210506 15:41:35']
['518', 'State/Lake', '5', '20210506 15:42:27']
['522', 'Wilson', '5', '20210506 15:42:28']
['523', 'Howard', '5', '20210506 15:41:35']
['507', 'Central', '5', '20210506 15:43:23']
['513', 'Foster', '1', '20210506 15:43:24']
['518', 'Washington/Wabash', '5', '20210506 15:43:31']
['507', 'Central', '5', '20210506 15:44:12']
['513', 'Noyes', '1', '20210506 15:43:43']
['518', 'Adams/Wabash', '5', '20210506 15:44:24']
['519', 'Chicago', '1', '20210506 15:44:21']
['522', 'Sheridan', '5', '20210506 15:44:30']
['513', 'Central', '1', '20210506 15:45:32']
['520', 'Sedgwick', '5', '20210506 15:45:09']
['522', 'Sheridan', '5', '20210506 15:44:30']
['507', 'Davis', '5', '20210506 15:46:34']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210506 15:46:34']
['507', 'Davis', '5', '20210506 15:47:36']
['513', 'Linden', '1', '20210506 15:47:16']
['518', 'LaSalle/Van Buren', '5', '20210506 15:46:44']
['519', 'Sedgwick', '1', '20210506 15:47:39']
['507', 'Davis', '5', '20210506 15:48:27']
['518', 'LaSalle/Van Buren', '5', '20210506 15:48:14']
['520', 'Chicago', '5', '20210506 15:48:39']
['522', 'Belmont', '5', '20210506 15:48:40']
['507', 'Davis', '5', '20210506 15:49:38']
['518', 'Quincy', '5', '20210506 15:49:23']
['522', 'Wellington', '5', '20210506 15:49:26']
['506', 'Wellington', '5', '20210506 15:50:17']
['508', 'Wilson', '5', '20210506 15:50:37']
['518', 'Quincy', '5', '20210506 15:50:39']
['520', 'Merchandise Mart', '5', '20210506 15:50:36']
['506', 'Diversey', '5', '20210506 15:51:12']
['507', 'Main', '5', '20210506 15:51:31']
['518', 'Washington/Wells', '5', '20210506 15:51:25']
['519', 'Armitage', '1', '20210506 15:51:34']
['520', 'Merchandise Mart', '5', '20210506 15:51:17']
['506', 'Fullerton', '5', '20210506 15:52:35']
['507', 'Main', '5', '20210506 15:52:36']
['508', 'Sheridan', '5', '20210506 15:52:32']
['509', 'Central', '5', '20210506 15:52:05']
['514', 'Main', '1', '20210506 15:52:39']
['506', 'Fullerton', '5', '20210506 15:53:32']
['507', 'South Boulevard', '5', '20210506 15:53:29']
['508', 'Sheridan', '5', '20210506 15:52:41']
['514', 'Main', '1', '20210506 15:53:38']
['518', 'Merchandise Mart', '1', '20210506 15:53:11']
['519', 'Fullerton', '1', '20210506 15:53:33']
['520', 'Clark/Lake', '5', '20210506 15:53:26']
['507', 'Howard', '5', '20210506 15:54:14']
['514', 'Dempster', '1', '20210506 15:54:06']
['518', 'Merchandise Mart', '1', '20210506 15:54:17']
['520', 'State/Lake', '5', '20210506 15:54:35']
['506', 'Armitage', '5', '20210506 15:55:29']
['509', 'Davis', '5', '20210506 15:55:30']
['519', 'Diversey', '1', '20210506 15:55:23']
['508', 'Belmont', '5', '20210506 15:56:35']
['509', 'Davis', '5', '20210506 15:56:04']
['518', 'Chicago', '1', '20210506 15:56:14']
['519', 'Wellington', '1', '20210506 15:56:35']
