['508', 'Diversey', '5', '20210506 06:49:32']
['510', 'Davis', '5', '20210506 06:49:27']
['502', 'Linden', '1', '20210506 06:50:29']
['503', 'Main', '1', '20210506 06:50:35']
['504', 'Sedgwick', '1', '20210506 06:50:36']
['506', 'State/Lake', '5', '20210506 06:50:39']
['508', 'Diversey', '5', '20210506 06:50:39']
['510', 'Davis', '5', '20210506 06:50:35']
['502', 'Linden', '1', '20210506 06:51:31']
['503', 'Dempster', '1', '20210506 06:50:59']
['504', 'Sedgwick', '1', '20210506 06:51:31']
['506', 'Washington/Wabash', '5', '20210506 06:51:36']
['508', 'Fullerton', '5', '20210506 06:51:17']
['510', 'Davis', '5', '20210506 06:51:10']
['503', 'Davis', '1', '20210506 06:52:18']
['506', 'Adams/Wabash', '5', '20210506 06:52:38']
['509', 'Wilson', '5', '20210506 06:52:37']
['510', 'Davis', '5', '20210506 06:52:30']
['513', 'South Boulevard', '1', '20210506 06:52:32']
['508', 'Armitage', '5', '20210506 06:53:39']
['510', 'Dempster', '5', '20210506 06:52:54']
['513', 'Main', '1', '20210506 06:53:03']
['503', 'Foster', '1', '20210506 06:54:34']
['504', 'Armitage', '1', '20210506 06:54:30']
['506', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:54:36']
['510', 'Main', '5', '20210506 06:54:37']
['513', 'Dempster', '1', '20210506 06:54:23']
['503', 'Noyes', '1', '20210506 06:54:57']
['506', 'LaSalle/Van Buren', '5', '20210506 06:55:16']
['509', 'Sheridan', '5', '20210506 06:55:06']
['510', 'Main', '5', '20210506 06:54:48']
['513', 'Dempster', '1', '20210506 06:55:17']
['504', 'Fullerton', '1', '20210506 06:56:28']
['506', 'Quincy', '5', '20210506 06:56:30']
['508', 'Sedgwick', '5', '20210506 06:56:36']
['509', 'Sheridan', '5', '20210506 06:56:35']
['510', 'South Boulevard', '5', '20210506 06:56:12']
['511', 'Central', '5', '20210506 06:56:31']
['513', 'Davis', '1', '20210506 06:56:37']
['506', 'Quincy', '5', '20210506 06:57:39']
['510', 'Howard', '5', '20210506 06:57:28']
['511', 'Central', '5', '20210506 06:57:26']
['503', 'Linden', '1', '20210506 06:58:17']
['504', 'Diversey', '1', '20210506 06:58:32']
['506', 'Washington/Wells', '5', '20210506 06:58:34']
['509', 'Belmont', '5', '20210506 06:58:33']
['510', 'Howard', '5', '20210506 06:58:36']
['513', 'Noyes', '1', '20210506 06:58:23']
['503', 'Linden', '1', '20210506 06:59:39']
['504', 'Wellington', '1', '20210506 06:59:16']
['506', 'Merchandise Mart', '1', '20210506 06:59:34']
['508', 'Chicago', '5', '20210506 06:59:39']
['509', 'Belmont', '5', '20210506 06:58:33']
['504', 'Wellington', '1', '20210506 07:00:31']
['506', 'Merchandise Mart', '1', '20210506 07:00:26']
['508', 'Chicago', '5', '20210506 07:00:33']
['509', 'Wellington', '5', '20210506 07:00:11']
['511', 'Davis', '5', '20210506 07:00:22']
['504', 'Belmont', '1', '20210506 07:01:35']
['509', 'Diversey', '5', '20210506 07:01:37']
['511', 'Davis', '5', '20210506 07:01:03']
['513', 'Linden', '1', '20210506 07:01:38']
['506', 'Chicago', '1', '20210506 07:02:34']
['508', 'Merchandise Mart', '5', '20210506 07:02:09']
['509', 'Diversey', '5', '20210506 07:02:28']
['511', 'Davis', '5', '20210506 07:01:51']
['513', 'Linden', '1', '20210506 07:02:33']
['509', 'Fullerton', '5', '20210506 07:03:38']
['511', 'Dempster', '5', '20210506 07:03:19']
['511', 'Dempster', '5', '20210506 07:03:19']
['506', 'Sedgwick', '1', '20210506 07:05:39']
['508', 'State/Lake', '5', '20210506 07:05:14']
['509', 'Armitage', '5', '20210506 07:05:35']
['510', 'Wilson', '5', '20210506 07:05:37']
['511', 'Main', '5', '20210506 07:04:58']
['506', 'Sedgwick', '1', '20210506 07:06:31']
['508', 'State/Lake', '5', '20210506 07:05:54']
['510', 'Wilson', '5', '20210506 07:06:35']
['511', 'South Boulevard', '5', '20210506 07:06:20']
['512', 'Central', '5', '20210506 07:06:01']
['504', 'Wilson', '1', '20210506 07:07:39']
['511', 'South Boulevard', '5', '20210506 07:06:50']
['512', 'Central', '5', '20210506 07:06:55']
['508', 'Washington/Wabash', '5', '20210506 07:08:33']
['509', 'Sedgwick', '5', '20210506 07:08:25']
['510', 'Sheridan', '5', '20210506 07:08:23']
['511', 'Howard', '5', '20210506 07:07:40']
['501', 'South Boulevard', '1', '20210506 07:09:01']
['506', 'Armitage', '1', '20210506 07:09:31']
['508', 'Adams/Wabash', '5', '20210506 07:09:39']
['510', 'Sheridan', '5', '20210506 07:08:23']
['512', 'Davis', '5', '20210506 07:09:38']
['501', 'South Boulevard', '1', '20210506 07:09:01']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210506 07:10:37']
['512', 'Davis', '5', '20210506 07:10:17']
['501', 'Main', '1', '20210506 07:11:08']
['506', 'Fullerton', '1', '20210506 07:11:36']
['508', 'LaSalle/Van Buren', '5', '20210506 07:11:24']
['509', 'Chicago', '5', '20210506 07:11:28']
['512', 'Davis', '5', '20210506 07:11:09']
['501', 'Dempster', '1', '20210506 07:12:15']
['508', 'LaSalle/Van Buren', '5', '20210506 07:12:07']
['510', 'Belmont', '5', '20210506 07:12:40']
['512', 'Davis', '5', '20210506 07:12:24']
['506', 'Diversey', '1', '20210506 07:13:29']
['508', 'Quincy', '5', '20210506 07:13:30']
['509', 'Merchandise Mart', '5', '20210506 07:13:35']
['510', 'Wellington', '5', '20210506 07:12:59']
['512', 'Dempster', '5', '20210506 07:12:42']
['501', 'Davis', '1', '20210506 07:14:35']
['506', 'Wellington', '1', '20210506 07:14:36']
['508', 'Quincy', '5', '20210506 07:14:35']
['509', 'Merchandise Mart', '5', '20210506 07:14:19']
['510', 'Diversey', '5', '20210506 07:14:33']
['512', 'Main', '5', '20210506 07:14:16']
['506', 'Wellington', '1', '20210506 07:15:28']
['508', 'Washington/Wells', '5', '20210506 07:15:34']
['511', 'Wilson', '5', '20210506 07:15:34']
['512', 'South Boulevard', '5', '20210506 07:15:39']
['501', 'Noyes', '1', '20210506 07:16:26']
['503', 'Central', '5', '20210506 07:16:33']
['506', 'Belmont', '1', '20210506 07:16:14']
['509', 'Clark/Lake', '5', '20210506 07:16:37']
['510', 'Fullerton', '5', '20210506 07:16:34']
['511', 'Wilson', '5', '20210506 07:16:34']
['512', 'South Boulevard', '5', '20210506 07:16:10']
['503', 'Central', '5', '20210506 07:17:17']
['508', 'Merchandise Mart', '1', '20210506 07:16:53']
['509', 'State/Lake', '5', '20210506 07:17:07']
['512', 'Howard', '5', '20210506 07:16:53']
['501', 'Central', '1', '20210506 07:18:26']
['508', 'Merchandise Mart', '1', '20210506 07:17:55']
['503', 'Davis', '5', '20210506 07:19:30']
['509', 'Washington/Wabash', '5', '20210506 07:19:31']
['511', 'Sheridan', '5', '20210506 07:18:54']
['501', 'Linden', '1', '20210506 07:20:11']
['503', 'Davis', '5', '20210506 07:20:38']
['508', 'Chicago', '1', '20210506 07:20:24']
['509', 'Adams/Wabash', '5', '20210506 07:20:35']
['511', 'Sheridan', '5', '20210506 07:20:24']
['501', 'Linden', '1', '20210506 07:21:34']
['503', 'Davis', '5', '20210506 07:21:13']
['504', 'South Boulevard', '1', '20210506 07:21:36']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210506 07:21:38']
['510', 'Sedgwick', '5', '20210506 07:21:39']
['503', 'Davis', '5', '20210506 07:22:15']
['504', 'Main', '1', '20210506 07:22:08']
['509', 'LaSalle/Van Buren', '5', '20210506 07:22:26']
['511', 'Belmont', '5', '20210506 07:22:29']
['504', 'Dempster', '1', '20210506 07:23:39']
['506', 'Wilson', '1', '20210506 07:23:18']
['508', 'Sedgwick', '1', '20210506 07:23:37']
['509', 'Quincy', '5', '20210506 07:23:23']
['511', 'Belmont', '5', '20210506 07:23:30']
['503', 'Main', '5', '20210506 07:24:08']
['504', 'Dempster', '1', '20210506 07:24:34']
['508', 'Sedgwick', '1', '20210506 07:24:37']
['509', 'Quincy', '5', '20210506 07:24:34']
['510', 'Chicago', '5', '20210506 07:24:33']
['511', 'Wellington', '5', '20210506 07:23:44']
['503', 'South Boulevard', '5', '20210506 07:25:29']
['511', 'Diversey', '5', '20210506 07:25:33']
['513', 'Central', '5', '20210506 07:25:38']
['503', 'Howard', '5', '20210506 07:26:37']
['509', 'Merchandise Mart', '1', '20210506 07:26:21']
['510', 'Merchandise Mart', '5', '20210506 07:26:32']
['513', 'Central', '5', '20210506 07:26:27']
['503', 'Howard', '5', '20210506 07:26:37']
['504', 'Foster', '1', '20210506 07:27:15']
['508', 'Armitage', '1', '20210506 07:27:23']
['509', 'Merchandise Mart', '1', '20210506 07:26:21']
['511', 'Fullerton', '5', '20210506 07:27:37']
['512', 'Wilson', '5', '20210506 07:27:39']
['504', 'Noyes', '1', '20210506 07:27:43']
['508', 'Armitage', '1', '20210506 07:28:35']
['504', 'Central', '1', '20210506 07:29:34']
['509', 'Chicago', '1', '20210506 07:29:36']
['510', 'Clark/Lake', '5', '20210506 07:29:38']
['511', 'Armitage', '5', '20210506 07:29:34']
