['501', 'Diversey', '1', '5', '20210513 06:03:28']
['502', 'Sedgwick', '1', '1', '20210513 06:03:38']
['503', 'Clark/Lake', '0', '5', '20210513 06:04:45']
['504', 'Wilson', '0', '5', '20210513 06:08:59']
['507', 'Linden', '0', '1', '20210513 06:03:15']
['501', 'Fullerton', '0', '5', '20210513 06:05:15']
['502', 'Armitage', '0', '1', '20210513 06:06:28']
['503', 'State/Lake', '1', '5', '20210513 06:04:23']
['504', 'Wilson', '0', '5', '20210513 06:08:34']
['506', 'Central', '1', '5', '20210513 06:04:37']
['507', 'Linden', '1', '1', '20210513 06:04:37']
['501', 'Armitage', '0', '5', '20210513 06:06:27']
['502', 'Armitage', '0', '1', '20210513 06:06:26']
['503', 'State/Lake', '1', '5', '20210513 06:05:36']
['504', 'Wilson', '0', '5', '20210513 06:06:38']
['506', 'Central', '1', '5', '20210513 06:05:26']
['501', 'Armitage', '1', '5', '20210513 06:06:29']
['502', 'Armitage', '1', '1', '20210513 06:06:37']
['503', 'Washington/Wabash', '1', '5', '20210513 06:06:32']
['504', 'Wilson', '1', '5', '20210513 06:06:39']
['506', 'Davis', '0', '5', '20210513 06:07:15']
['501', 'Sedgwick', '0', '5', '20210513 06:09:30']
['502', 'Fullerton', '0', '1', '20210513 06:08:31']
['503', 'Adams/Wabash', '1', '5', '20210513 06:07:13']
['504', 'Sheridan', '0', '5', '20210513 06:08:35']
['506', 'Davis', '0', '5', '20210513 06:07:15']
['509', 'Main', '1', '1', '20210513 06:07:26']
['501', 'Sedgwick', '0', '5', '20210513 06:09:39']
['502', 'Fullerton', '1', '1', '20210513 06:08:33']
['503', 'Harold Washington Library-State/Van Buren', '1', '5', '20210513 06:08:35']
['504', 'Sheridan', '0', '5', '20210513 06:09:30']
['506', 'Davis', '1', '5', '20210513 06:08:33']
['509', 'Main', '1', '1', '20210513 06:08:22']
['501', 'Sedgwick', '0', '5', '20210513 06:10:38']
['502', 'Diversey', '0', '1', '20210513 06:10:14']
['503', 'Harold Washington Library-State/Van Buren', '1', '5', '20210513 06:09:20']
['504', 'Sheridan', '1', '5', '20210513 06:09:01']
['506', 'Davis', '1', '5', '20210513 06:09:33']
['509', 'Dempster', '0', '1', '20210513 06:09:47']
['501', 'Sedgwick', '1', '5', '20210513 06:10:11']
['502', 'Diversey', '1', '1', '20210513 06:10:38']
['503', 'Quincy', '1', '5', '20210513 06:10:38']
['504', 'Belmont', '0', '5', '20210513 06:12:23']
['506', 'Davis', '1', '5', '20210513 06:09:33']
['509', 'Davis', '0', '1', '20210513 06:11:05']
['501', 'Chicago', '0', '5', '20210513 06:13:35']
['502', 'Wellington', '0', '1', '20210513 06:12:25']
['503', 'Quincy', '1', '5', '20210513 06:11:39']
['504', 'Belmont', '0', '5', '20210513 06:12:21']
['506', 'Dempster', '0', '5', '20210513 06:12:09']
['509', 'Foster', '0', '1', '20210513 06:12:13']
['501', 'Chicago', '0', '5', '20210513 06:13:18']
['502', 'Wellington', '1', '1', '20210513 06:12:14']
['503', 'Washington/Wells', '1', '5', '20210513 06:12:34']
['504', 'Belmont', '1', '5', '20210513 06:12:37']
['506', 'Main', '1', '5', '20210513 06:12:38']
['509', 'Foster', '1', '1', '20210513 06:12:26']
['501', 'Chicago', '1', '5', '20210513 06:13:26']
['502', 'Belmont', '1', '1', '20210513 06:13:38']
['503', 'Merchandise Mart', '1', '1', '20210513 06:13:28']
['504', 'Wellington', '1', '5', '20210513 06:13:07']
['506', 'Main', '1', '5', '20210513 06:12:38']
['509', 'Central', '0', '1', '20210513 06:14:37']
['501', 'Chicago', '1', '5', '20210513 06:14:17']
['503', 'Chicago', '0', '1', '20210513 06:15:26']
['504', 'Diversey', '1', '5', '20210513 06:14:30']
['506', 'South Boulevard', '1', '5', '20210513 06:14:32']
['509', 'Central', '1', '1', '20210513 06:14:25']
['501', 'Merchandise Mart', '0', '5', '20210513 06:16:33']
['503', 'Chicago', '1', '1', '20210513 06:15:29']
['504', 'Diversey', '1', '5', '20210513 06:15:16']
['506', 'Howard', '1', '5', '20210513 06:15:18']
['509', 'Linden', '0', '1', '20210513 06:15:46']
['501', 'Merchandise Mart', '1', '5', '20210513 06:16:22']
['503', 'Sedgwick', '0', '1', '20210513 06:18:34']
['504', 'Fullerton', '1', '5', '20210513 06:16:32']
['506', 'Wilson', '0', '5', '20210513 06:24:38']
['509', 'Linden', '1', '1', '20210513 06:16:02']
['501', 'Clark/Lake', '0', '5', '20210513 06:19:17']
['503', 'Sedgwick', '0', '1', '20210513 06:18:39']
['504', 'Armitage', '0', '5', '20210513 06:18:08']
['506', 'Wilson', '0', '5', '20210513 06:25:05']
['501', 'Clark/Lake', '0', '5', '20210513 06:19:17']
['503', 'Sedgwick', '1', '1', '20210513 06:18:37']
['504', 'Armitage', '1', '5', '20210513 06:18:32']
['506', 'Wilson', '0', '5', '20210513 06:25:05']
['513', 'Main', '1', '1', '20210513 06:18:21']
['501', 'Clark/Lake', '1', '5', '20210513 06:19:31']
['502', 'Wilson', '1', '1', '20210513 06:19:33']
['503', 'Sedgwick', '1', '1', '20210513 06:19:37']
['504', 'Sedgwick', '0', '5', '20210513 06:21:24']
['506', 'Wilson', '0', '5', '20210513 06:25:05']
['513', 'Main', '1', '1', '20210513 06:19:23']
['501', 'State/Lake', '1', '5', '20210513 06:20:00']
['502', 'Howard', '0', '1', '20210513 06:29:54']
['503', 'Armitage', '0', '1', '20210513 06:22:10']
['504', 'Sedgwick', '0', '5', '20210513 06:21:30']
['506', 'Wilson', '0', '5', '20210513 06:26:22']
['508', 'Central', '1', '5', '20210513 06:20:38']
['513', 'Dempster', '0', '1', '20210513 06:20:45']
['501', 'Adams/Wabash', '0', '5', '20210513 06:22:07']
['502', 'Howard', '0', '1', '20210513 06:29:54']
['503', 'Armitage', '0', '1', '20210513 06:22:24']
['504', 'Sedgwick', '1', '5', '20210513 06:21:20']
['506', 'Wilson', '0', '5', '20210513 06:26:03']
['508', 'Davis', '0', '5', '20210513 06:22:29']
['510', 'Davis', '0', '1', '20210513 06:21:55']
['501', 'Adams/Wabash', '1', '5', '20210513 06:22:39']
['502', 'South Boulevard', '0', '1', '20210513 06:30:43']
['503', 'Armitage', '0', '1', '20210513 06:23:26']
['504', 'Chicago', '0', '5', '20210513 06:24:38']
['506', 'Wilson', '0', '5', '20210513 06:24:30']
['508', 'Davis', '0', '5', '20210513 06:22:29']
['510', 'Foster', '0', '1', '20210513 06:23:09']
['501', 'Adams/Wabash', '1', '5', '20210513 06:23:38']
['502', 'Howard', '0', '1', '20210513 06:28:54']
['503', 'Armitage', '1', '1', '20210513 06:23:33']
['504', 'Chicago', '0', '5', '20210513 06:24:31']
['506', 'Wilson', '0', '5', '20210513 06:24:33']
['508', 'Davis', '1', '5', '20210513 06:23:19']
['510', 'Noyes', '1', '1', '20210513 06:23:39']
['501', 'Harold Washington Library-State/Van Buren', '1', '5', '20210513 06:24:34']
['502', 'Howard', '0', '1', '20210513 06:29:28']
['503', 'Fullerton', '0', '1', '20210513 06:24:58']
['504', 'Chicago', '1', '5', '20210513 06:24:40']
['506', 'Wilson', '1', '5', '20210513 06:24:30']
['508', 'Davis', '1', '5', '20210513 06:24:00']
['510', 'Noyes', '1', '1', '20210513 06:23:39']
['501', 'LaSalle/Van Buren', '1', '5', '20210513 06:25:23']
['502', 'South Boulevard', '0', '1', '20210513 06:29:29']
['503', 'Diversey', '0', '1', '20210513 06:26:36']
['504', 'Merchandise Mart', '0', '5', '20210513 06:26:32']
['506', 'Sheridan', '0', '5', '20210513 06:26:04']
['508', 'Davis', '1', '5', '20210513 06:24:40']
['510', 'Central', '1', '1', '20210513 06:25:22']
['501', 'Quincy', '1', '5', '20210513 06:26:31']
['502', 'Howard', '0', '1', '20210513 06:28:35']
['503', 'Diversey', '1', '1', '20210513 06:26:35']
['504', 'Merchandise Mart', '1', '5', '20210513 06:26:36']
['506', 'Sheridan', '1', '5', '20210513 06:26:37']
['508', 'Main', '0', '5', '20210513 06:27:20']
['510', 'Linden', '0', '1', '20210513 06:26:50']
['501', 'Quincy', '1', '5', '20210513 06:27:39']
['502', 'Howard', '0', '1', '20210513 06:28:35']
['503', 'Diversey', '1', '1', '20210513 06:27:21']
['504', 'Merchandise Mart', '1', '5', '20210513 06:27:13']
['506', 'Sheridan', '1', '5', '20210513 06:26:37']
['508', 'Main', '0', '5', '20210513 06:27:20']
['510', 'Linden', '1', '1', '20210513 06:27:10']
['501', 'Washington/Wells', '1', '5', '20210513 06:28:28']
['502', 'Howard', '0', '1', '20210513 06:28:35']
['503', 'Wellington', '1', '1', '20210513 06:28:28']
['504', 'Clark/Lake', '0', '5', '20210513 06:29:40']
['506', 'Belmont', '0', '5', '20210513 06:30:23']
['508', 'Main', '1', '5', '20210513 06:27:49']
['501', 'Merchandise Mart', '1', '1', '20210513 06:29:29']
['503', 'Belmont', '1', '1', '20210513 06:29:12']
['504', 'State/Lake', '1', '5', '20210513 06:29:35']
['506', 'Belmont', '0', '5', '20210513 06:30:30']
['508', 'South Boulevard', '1', '5', '20210513 06:29:39']
['501', 'Merchandise Mart', '1', '1', '20210513 06:30:20']
['504', 'Adams/Wabash', '0', '5', '20210513 06:31:34']
['506', 'Belmont', '1', '5', '20210513 06:30:32']
['508', 'Howard', '1', '5', '20210513 06:30:19']
['513', 'South Boulevard', '1', '1', '20210513 06:30:35']
['501', 'Chicago', '0', '1', '20210513 06:32:07']
['502', 'Main', '0', '1', '20210513 06:32:35']
['504', 'Washington/Wabash', '1', '5', '20210513 06:31:29']
['506', 'Wellington', '1', '5', '20210513 06:31:34']
['508', 'Wilson', '0', '5', '20210513 06:39:33']
['501', 'Chicago', '1', '1', '20210513 06:32:29']
['502', 'Dempster', '0', '1', '20210513 06:33:36']
['504', 'Adams/Wabash', '1', '5', '20210513 06:32:39']
['506', 'Diversey', '1', '5', '20210513 06:32:28']
['508', 'Wilson', '0', '5', '20210513 06:40:01']
['501', 'Sedgwick', '0', '1', '20210513 06:35:13']
['502', 'Dempster', '1', '1', '20210513 06:33:32']
['504', 'Harold Washington Library-State/Van Buren', '1', '5', '20210513 06:33:38']
['506', 'Fullerton', '0', '5', '20210513 06:34:32']
['508', 'Wilson', '0', '5', '20210513 06:40:01']
['509', 'Central', '1', '5', '20210513 06:32:57']
['501', 'Sedgwick', '0', '1', '20210513 06:35:26']
['502', 'Davis', '0', '1', '20210513 06:34:53']
['504', 'LaSalle/Van Buren', '1', '5', '20210513 06:34:31']
['506', 'Fullerton', '1', '5', '20210513 06:34:35']
['508', 'Wilson', '0', '5', '20210513 06:40:01']
['509', 'Central', '1', '5', '20210513 06:33:45']
['501', 'Sedgwick', '1', '1', '20210513 06:35:30']
['502', 'Foster', '0', '1', '20210513 06:36:04']
['503', 'Wilson', '1', '1', '20210513 06:35:38']
['504', 'Quincy', '1', '5', '20210513 06:35:28']
['506', 'Armitage', '0', '5', '20210513 06:36:06']
['508', 'Wilson', '0', '5', '20210513 06:41:02']
['509', 'Davis', '0', '5', '20210513 06:35:40']
['501', 'Sedgwick', '1', '1', '20210513 06:36:39']
['502', 'Noyes', '1', '1', '20210513 06:36:37']
['503', 'Howard', '0', '1', '20210513 06:46:07']
['504', 'Quincy', '1', '5', '20210513 06:36:38']
['506', 'Armitage', '1', '5', '20210513 06:36:28']
['508', 'Wilson', '0', '5', '20210513 06:40:37']
['509', 'Davis', '1', '5', '20210513 06:36:30']
['501', 'Armitage', '0', '1', '20210513 06:39:35']
['502', 'Central', '0', '1', '20210513 06:38:38']
['503', 'Howard', '0', '1', '20210513 06:46:07']
['504', 'Washington/Wells', '1', '5', '20210513 06:37:36']
['506', 'Sedgwick', '0', '5', '20210513 06:38:36']
['508', 'Wilson', '0', '5', '20210513 06:38:39']
['509', 'Davis', '1', '5', '20210513 06:37:09']
['501', 'Armitage', '0', '1', '20210513 06:39:34']
['502', 'Central', '1', '1', '20210513 06:38:30']
['503', 'South Boulevard', '0', '1', '20210513 06:46:55']
['504', 'Merchandise Mart', '1', '1', '20210513 06:38:38']
['506', 'Sedgwick', '0', '5', '20210513 06:39:25']
['508', 'Wilson', '1', '5', '20210513 06:38:28']
['509', 'Davis', '1', '5', '20210513 06:37:49']
['501', 'Armitage', '1', '1', '20210513 06:39:36']
['502', 'Linden', '0', '1', '20210513 06:39:58']
['503', 'Howard', '0', '1', '20210513 06:45:03']
['504', 'Chicago', '0', '1', '20210513 06:40:38']
['506', 'Sedgwick', '1', '5', '20210513 06:39:20']
['508', 'Sheridan', '0', '5', '20210513 06:40:39']
['509', 'Main', '0', '5', '20210513 06:40:10']
['501', 'Armitage', '1', '1', '20210513 06:40:32']
['502', 'Linden', '1', '1', '20210513 06:40:12']
['503', 'South Boulevard', '0', '1', '20210513 06:46:00']
['504', 'Chicago', '1', '1', '20210513 06:40:27']
['506', 'Chicago', '0', '5', '20210513 06:42:28']
['508', 'Sheridan', '0', '5', '20210513 06:41:35']
['509', 'Main', '1', '5', '20210513 06:40:34']
['501', 'Fullerton', '1', '1', '20210513 06:41:34']
['503', 'Howard', '0', '1', '20210513 06:45:28']
['504', 'Sedgwick', '0', '1', '20210513 06:43:32']
['506', 'Chicago', '0', '5', '20210513 06:42:21']
['508', 'Sheridan', '1', '5', '20210513 06:41:06']
['509', 'Main', '1', '5', '20210513 06:41:37']
['501', 'Diversey', '0', '1', '20210513 06:43:27']
['503', 'Howard', '0', '1', '20210513 06:44:32']
['504', 'Sedgwick', '0', '1', '20210513 06:43:36']
['506', 'Chicago', '1', '5', '20210513 06:42:33']
['508', 'Belmont', '0', '5', '20210513 06:44:27']
['509', 'South Boulevard', '1', '5', '20210513 06:42:23']
['501', 'Diversey', '1', '1', '20210513 06:43:39']
['503', 'Howard', '0', '1', '20210513 06:44:55']
['504', 'Sedgwick', '1', '1', '20210513 06:43:31']
['506', 'Chicago', '1', '5', '20210513 06:43:26']
['508', 'Belmont', '0', '5', '20210513 06:44:25']
['509', 'Howard', '1', '5', '20210513 06:43:06']
['501', 'Diversey', '1', '1', '20210513 06:44:26']
['503', 'Howard', '0', '1', '20210513 06:44:55']
['504', 'Sedgwick', '1', '1', '20210513 06:44:35']
['506', 'Merchandise Mart', '0', '5', '20210513 06:45:12']
['508', 'Belmont', '1', '5', '20210513 06:44:11']
['509', 'Wilson', '0', '5', '20210513 06:52:40']
['501', 'Wellington', '1', '1', '20210513 06:44:52']
['503', 'South Boulevard', '1', '1', '20210513 06:45:19']
['504', 'Armitage', '0', '1', '20210513 06:47:24']
['506', 'Merchandise Mart', '1', '5', '20210513 06:45:10']
['508', 'Belmont', '1', '5', '20210513 06:45:38']
['509', 'Wilson', '0', '5', '20210513 06:52:40']
['510', 'Central', '1', '5', '20210513 06:45:14']
['501', 'Belmont', '1', '1', '20210513 06:46:27']
['503', 'South Boulevard', '1', '1', '20210513 06:45:19']
['504', 'Armitage', '0', '1', '20210513 06:47:21']
['506', 'Clark/Lake', '0', '5', '20210513 06:48:10']
['508', 'Wellington', '1', '5', '20210513 06:46:15']
['509', 'Wilson', '0', '5', '20210513 06:52:40']
['510', 'Central', '1', '5', '20210513 06:46:06']
['503', 'Main', '1', '1', '20210513 06:47:26']
['504', 'Armitage', '1', '1', '20210513 06:47:31']
['506', 'State/Lake', '0', '5', '20210513 06:48:27']
['508', 'Wellington', '1', '5', '20210513 06:47:18']
['509', 'Wilson', '0', '5', '20210513 06:52:29']
['510', 'Davis', '0', '5', '20210513 06:47:54']
['503', 'Main', '1', '1', '20210513 06:48:22']
['504', 'Fullerton', '0', '1', '20210513 06:49:23']
['506', 'State/Lake', '1', '5', '20210513 06:48:28']
['508', 'Diversey', '1', '5', '20210513 06:48:11']
['509', 'Wilson', '0', '5', '20210513 06:53:10']
['510', 'Davis', '1', '5', '20210513 06:48:25']
['503', 'Dempster', '0', '1', '20210513 06:49:46']
['504', 'Fullerton', '0', '1', '20210513 06:49:23']
['506', 'State/Lake', '1', '5', '20210513 06:49:33']
['508', 'Fullerton', '0', '5', '20210513 06:50:29']
