['508', 'Wilson', '5', '20210430 06:38:32']
['509', 'Davis', '5', '20210430 06:38:33']
['501', 'Chicago', '1', '20210430 06:39:16']
['502', 'South Boulevard', '1', '20210430 06:39:20']
['504', 'Washington/Wells', '5', '20210430 06:39:38']
['509', 'Davis', '5', '20210430 06:39:40']
['502', 'Main', '1', '20210430 06:40:02']
['506', 'Sedgwick', '5', '20210430 06:40:17']
['509', 'Dempster', '5', '20210430 06:39:58']
['502', 'Dempster', '1', '20210430 06:41:29']
['504', 'Merchandise Mart', '1', '20210430 06:41:13']
['509', 'Main', '5', '20210430 06:41:23']
['502', 'Dempster', '1', '20210430 06:42:32']
['509', 'South Boulevard', '5', '20210430 06:42:38']
['501', 'Sedgwick', '1', '20210430 06:43:38']
['504', 'Chicago', '1', '20210430 06:43:34']
['506', 'Chicago', '5', '20210430 06:43:37']
['508', 'Belmont', '5', '20210430 06:43:40']
['509', 'South Boulevard', '5', '20210430 06:43:08']
['508', 'Belmont', '5', '20210430 06:44:39']
['509', 'Howard', '5', '20210430 06:43:46']
['502', 'Noyes', '1', '20210430 06:45:36']
['506', 'Merchandise Mart', '5', '20210430 06:45:39']
['508', 'Wellington', '5', '20210430 06:45:20']
['501', 'Armitage', '1', '20210430 06:46:23']
['502', 'Noyes', '1', '20210430 06:45:36']
['503', 'South Boulevard', '1', '20210430 06:46:36']
['504', 'Sedgwick', '1', '20210430 06:46:38']
['506', 'Merchandise Mart', '5', '20210430 06:46:28']
['508', 'Wellington', '5', '20210430 06:46:32']
['510', 'Central', '5', '20210430 06:46:10']
['501', 'Armitage', '1', '20210430 06:47:29']
['502', 'Central', '1', '20210430 06:47:27']
['503', 'South Boulevard', '1', '20210430 06:46:36']
['508', 'Diversey', '5', '20210430 06:47:28']
['503', 'Main', '1', '20210430 06:48:37']
['506', 'Clark/Lake', '5', '20210430 06:48:39']
['510', 'Davis', '5', '20210430 06:48:32']
['501', 'Fullerton', '1', '20210430 06:49:16']
['502', 'Linden', '1', '20210430 06:49:10']
['503', 'Main', '1', '20210430 06:49:34']
['504', 'Armitage', '1', '20210430 06:49:18']
['506', 'State/Lake', '5', '20210430 06:49:20']
['510', 'Davis', '5', '20210430 06:49:30']
['501', 'Diversey', '1', '20210430 06:50:36']
['503', 'Dempster', '1', '20210430 06:49:58']
['504', 'Armitage', '1', '20210430 06:50:27']
['510', 'Davis', '5', '20210430 06:50:11']
['501', 'Diversey', '1', '20210430 06:51:30']
['504', 'Fullerton', '1', '20210430 06:51:39']
['506', 'Washington/Wabash', '5', '20210430 06:51:30']
['508', 'Armitage', '5', '20210430 06:51:40']
['509', 'Wilson', '5', '20210430 06:51:26']
['510', 'Davis', '5', '20210430 06:51:23']
['513', 'South Boulevard', '1', '20210430 06:51:18']
['506', 'Adams/Wabash', '5', '20210430 06:52:12']
['510', 'Dempster', '5', '20210430 06:51:42']
['513', 'Main', '1', '20210430 06:51:51']
['501', 'Belmont', '1', '20210430 06:53:28']
['503', 'Foster', '1', '20210430 06:53:27']
['504', 'Diversey', '1', '20210430 06:53:35']
