['513', 'State/Lake', '1', '5', '20210512 14:59:18']
['514', 'Sedgwick', '0', '5', '20210512 15:00:08']
['515', 'Belmont', '0', '5', '20210512 14:58:58']
['518', 'Davis', '1', '5', '20210512 14:59:28']
['519', 'Wilson', '0', '5', '20210512 15:05:17']
['513', 'Washington/Wabash', '0', '5', '20210512 15:01:17']
['514', 'Sedgwick', '1', '5', '20210512 15:00:36']
['515', 'Wellington', '1', '5', '20210512 15:00:19']
['518', 'Davis', '1', '5', '20210512 15:00:03']
['519', 'Wilson', '0', '5', '20210512 15:05:34']
['513', 'Adams/Wabash', '1', '5', '20210512 15:01:38']
['514', 'Chicago', '0', '5', '20210512 15:03:06']
['515', 'Diversey', '1', '5', '20210512 15:01:28']
['518', 'Dempster', '0', '5', '20210512 15:02:28']
['519', 'Wilson', '0', '5', '20210512 15:04:23']
['513', 'LaSalle/Van Buren', '0', '5', '20210512 15:03:36']
['514', 'Chicago', '0', '5', '20210512 15:03:38']
['515', 'Diversey', '1', '5', '20210512 15:02:32']
['518', 'Dempster', '0', '5', '20210512 15:02:28']
['519', 'Wilson', '0', '5', '20210512 15:03:32']
['513', 'Harold Washington Library-State/Van Buren', '1', '5', '20210512 15:03:35']
['514', 'Chicago', '1', '5', '20210512 15:03:27']
['515', 'Fullerton', '0', '5', '20210512 15:04:09']
['518', 'Main', '1', '5', '20210512 15:03:00']
['519', 'Wilson', '1', '5', '20210512 15:03:34']
['513', 'LaSalle/Van Buren', '1', '5', '20210512 15:04:16']
['514', 'Merchandise Mart', '0', '5', '20210512 15:05:36']
['515', 'Armitage', '0', '5', '20210512 15:05:26']
['518', 'South Boulevard', '1', '5', '20210512 15:04:19']
['519', 'Wilson', '1', '5', '20210512 15:04:36']
['513', 'Quincy', '1', '5', '20210512 15:05:17']
['514', 'Merchandise Mart', '1', '5', '20210512 15:05:23']
['515', 'Armitage', '1', '5', '20210512 15:05:37']
['518', 'Howard', '1', '5', '20210512 15:05:34']
['519', 'Sheridan', '1', '5', '20210512 15:05:36']
['513', 'Washington/Wells', '1', '5', '20210512 15:06:36']
['514', 'Clark/Lake', '0', '5', '20210512 15:07:20']
['515', 'Sedgwick', '0', '5', '20210512 15:08:32']
['518', 'Howard', '1', '5', '20210512 15:06:37']
['519', 'Sheridan', '1', '5', '20210512 15:05:36']
['508', 'Main', '1', '1', '20210512 15:07:18']
['513', 'Merchandise Mart', '0', '1', '20210512 15:08:33']
['514', 'Clark/Lake', '1', '5', '20210512 15:07:33']
['515', 'Sedgwick', '0', '5', '20210512 15:08:38']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '0', '5', '20210512 15:09:23']
['508', 'Main', '1', '1', '20210512 15:08:30']
['513', 'Merchandise Mart', '1', '1', '20210512 15:08:22']
['514', 'Clark/Lake', '1', '5', '20210512 15:08:22']
['515', 'Sedgwick', '0', '5', '20210512 15:09:09']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '0', '5', '20210512 15:09:31']
['520', 'Central', '1', '5', '20210512 15:08:18']
['508', 'Dempster', '0', '1', '20210512 15:09:54']
['513', 'Merchandise Mart', '1', '1', '20210512 15:09:22']
['514', 'State/Lake', '1', '5', '20210512 15:08:59']
['515', 'Sedgwick', '1', '5', '20210512 15:09:32']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '1', '5', '20210512 15:09:31']
['520', 'Davis', '0', '5', '20210512 15:10:37']
['508', 'Davis', '0', '1', '20210512 15:11:16']
['513', 'Chicago', '0', '1', '20210512 15:11:11']
['514', 'Washington/Wabash', '0', '5', '20210512 15:11:19']
['515', 'Chicago', '0', '5', '20210512 15:12:25']
['518', 'Wilson', '0', '5', '20210512 15:16:00']
['519', 'Belmont', '1', '5', '20210512 15:10:23']
['520', 'Davis', '0', '5', '20210512 15:10:37']
['508', 'Noyes', '0', '1', '20210512 15:12:36']
['513', 'Chicago', '1', '1', '20210512 15:11:25']
['514', 'Adams/Wabash', '1', '5', '20210512 15:11:38']
['515', 'Chicago', '0', '5', '20210512 15:12:33']
['518', 'Wilson', '0', '5', '20210512 15:16:35']
['519', 'Wellington', '1', '5', '20210512 15:11:30']
['520', 'Davis', '1', '5', '20210512 15:11:33']
['508', 'Noyes', '0', '1', '20210512 15:12:36']
['513', 'Sedgwick', '0', '1', '20210512 15:14:11']
['514', 'Adams/Wabash', '1', '5', '20210512 15:11:59']
['515', 'Chicago', '1', '5', '20210512 15:12:37']
['518', 'Wilson', '0', '5', '20210512 15:13:37']
['519', 'Diversey', '1', '5', '20210512 15:12:21']
['520', 'Davis', '1', '5', '20210512 15:12:07']
['507', 'South Boulevard', '1', '1', '20210512 15:13:16']
['508', 'Noyes', '1', '1', '20210512 15:13:16']
['513', 'Sedgwick', '0', '1', '20210512 15:14:37']
['514', 'Harold Washington Library-State/Van Buren', '1', '5', '20210512 15:13:38']
['515', 'Merchandise Mart', '0', '5', '20210512 15:14:20']
['518', 'Wilson', '0', '5', '20210512 15:14:27']
['519', 'Fullerton', '0', '5', '20210512 15:14:25']
['520', 'Davis', '1', '5', '20210512 15:12:48']
['507', 'Main', '1', '1', '20210512 15:13:49']
['508', 'Central', '0', '1', '20210512 15:15:16']
['513', 'Sedgwick', '1', '1', '20210512 15:14:31']
['514', 'LaSalle/Van Buren', '1', '5', '20210512 15:14:32']
['515', 'Merchandise Mart', '1', '5', '20210512 15:14:38']
['518', 'Wilson', '1', '5', '20210512 15:14:34']
['519', 'Fullerton', '1', '5', '20210512 15:14:40']
['520', 'Dempster', '0', '5', '20210512 15:15:31']
['507', 'Dempster', '0', '1', '20210512 15:16:22']
['508', 'Linden', '0', '1', '20210512 15:16:39']
['513', 'Armitage', '0', '1', '20210512 15:17:38']
['514', 'Quincy', '1', '5', '20210512 15:15:29']
['515', 'Clark/Lake', '0', '5', '20210512 15:16:33']
['518', 'Sheridan', '0', '5', '20210512 15:16:32']
['519', 'Armitage', '0', '5', '20210512 15:16:09']
['520', 'Dempster', '0', '5', '20210512 15:15:31']
['507', 'Dempster', '1', '1', '20210512 15:16:17']
['508', 'Linden', '0', '1', '20210512 15:16:39']
['513', 'Armitage', '0', '1', '20210512 15:17:38']
['514', 'Quincy', '1', '5', '20210512 15:16:38']
['515', 'Clark/Lake', '0', '5', '20210512 15:16:33']
['518', 'Sheridan', '1', '5', '20210512 15:16:02']
['519', 'Armitage', '1', '5', '20210512 15:16:28']
['520', 'Main', '1', '5', '20210512 15:16:02']
['507', 'Davis', '1', '1', '20210512 15:17:39']
['508', 'Linden', '1', '1', '20210512 15:16:54']
['513', 'Armitage', '0', '1', '20210512 15:18:33']
['514', 'Washington/Wells', '1', '5', '20210512 15:17:36']
['515', 'Clark/Lake', '1', '5', '20210512 15:17:16']
['518', 'Belmont', '0', '5', '20210512 15:19:24']
['519', 'Sedgwick', '0', '5', '20210512 15:19:28']
['520', 'South Boulevard', '1', '5', '20210512 15:17:26']
['507', 'Foster', '0', '1', '20210512 15:18:53']
['513', 'Armitage', '1', '1', '20210512 15:18:40']
['514', 'Merchandise Mart', '1', '1', '20210512 15:18:33']
['515', 'State/Lake', '1', '5', '20210512 15:18:34']
['518', 'Belmont', '0', '5', '20210512 15:19:23']
['519', 'Sedgwick', '0', '5', '20210512 15:19:39']
['520', 'South Boulevard', '1', '5', '20210512 15:17:59']
['507', 'Noyes', '1', '1', '20210512 15:19:26']
['513', 'Fullerton', '0', '1', '20210512 15:20:21']
['514', 'Merchandise Mart', '1', '1', '20210512 15:18:33']
['515', 'Washington/Wabash', '0', '5', '20210512 15:20:08']
['518', 'Belmont', '1', '5', '20210512 15:19:35']
['519', 'Sedgwick', '0', '5', '20210512 15:20:29']
['520', 'Howard', '1', '5', '20210512 15:18:40']
['507', 'Central', '0', '1', '20210512 15:21:27']
['513', 'Fullerton', '1', '1', '20210512 15:20:34']
['514', 'Chicago', '0', '1', '20210512 15:21:28']
['515', 'Adams/Wabash', '1', '5', '20210512 15:20:37']
['518', 'Wellington', '1', '5', '20210512 15:20:07']
['519', 'Sedgwick', '1', '5', '20210512 15:20:36']
['520', 'Wilson', '0', '5', '20210512 15:29:27']
['522', 'Central', '1', '5', '20210512 15:20:31']
['507', 'Central', '1', '1', '20210512 15:21:38']
['513', 'Diversey', '0', '1', '20210512 15:22:17']
['514', 'Chicago', '1', '1', '20210512 15:21:33']
['515', 'Adams/Wabash', '1', '5', '20210512 15:21:28']
['518', 'Diversey', '1', '5', '20210512 15:21:25']
['519', 'Chicago', '0', '5', '20210512 15:23:27']
['520', 'Wilson', '0', '5', '20210512 15:29:27']
['522', 'Central', '1', '5', '20210512 15:21:17']
['507', 'Linden', '0', '1', '20210512 15:22:45']
['513', 'Diversey', '1', '1', '20210512 15:22:19']
['514', 'Sedgwick', '0', '1', '20210512 15:24:39']
['515', 'Harold Washington Library-State/Van Buren', '1', '5', '20210512 15:22:38']
['518', 'Diversey', '1', '5', '20210512 15:22:18']
['519', 'Chicago', '0', '5', '20210512 15:23:38']
['520', 'Wilson', '0', '5', '20210512 15:29:27']
['522', 'Davis', '0', '5', '20210512 15:23:12']
['507', 'Linden', '1', '1', '20210512 15:22:57']
['509', 'South Boulevard', '1', '1', '20210512 15:23:33']
['513', 'Wellington', '1', '1', '20210512 15:23:28']
['514', 'Sedgwick', '0', '1', '20210512 15:24:26']
['515', 'LaSalle/Van Buren', '1', '5', '20210512 15:23:38']
['518', 'Fullerton', '1', '5', '20210512 15:23:30']
['519', 'Chicago', '1', '5', '20210512 15:23:33']
['520', 'Wilson', '0', '5', '20210512 15:29:37']
['522', 'Noyes', '1', '5', '20210512 15:23:39']
['509', 'Main', '1', '1', '20210512 15:23:40']
['513', 'Wellington', '1', '1', '20210512 15:24:18']
['514', 'Sedgwick', '1', '1', '20210512 15:24:38']
['515', 'LaSalle/Van Buren', '1', '5', '20210512 15:24:13']
['518', 'Armitage', '0', '5', '20210512 15:25:09']
['519', 'Chicago', '1', '5', '20210512 15:24:22']
['520', 'Wilson', '0', '5', '20210512 15:30:16']
['522', 'Davis', '1', '5', '20210512 15:24:35']
['509', 'Dempster', '0', '1', '20210512 15:26:04']
['513', 'Belmont', '1', '1', '20210512 15:25:06']
['514', 'Sedgwick', '1', '1', '20210512 15:25:35']
['515', 'Quincy', '1', '5', '20210512 15:25:16']
['518', 'Armitage', '1', '5', '20210512 15:25:27']
['519', 'Merchandise Mart', '0', '5', '20210512 15:26:09']
['520', 'Wilson', '0', '5', '20210512 15:29:29']
['522', 'Davis', '1', '5', '20210512 15:25:36']
['509', 'Davis', '0', '1', '20210512 15:27:19']
['514', 'Armitage', '0', '1', '20210512 15:27:56']
['515', 'Washington/Wells', '1', '5', '20210512 15:26:34']
['518', 'Sedgwick', '0', '5', '20210512 15:28:40']
['519', 'Merchandise Mart', '1', '5', '20210512 15:26:30']
['520', 'Wilson', '0', '5', '20210512 15:27:38']
['522', 'Davis', '1', '5', '20210512 15:25:36']
['509', 'Foster', '0', '1', '20210512 15:28:33']
['514', 'Armitage', '0', '1', '20210512 15:28:39']
['515', 'Washington/Wells', '1', '5', '20210512 15:27:31']
