['518', 'Armitage', '5', '20210507 15:27:37']
['519', 'Chicago', '5', '20210507 15:27:39']
['522', 'Davis', '5', '20210507 15:27:12']
['509', 'Foster', '1', '20210507 15:28:37']
['515', 'Chicago', '1', '20210507 15:28:39']
['520', 'Wilson', '5', '20210507 15:28:39']
['522', 'Davis', '5', '20210507 15:28:29']
['509', 'Noyes', '1', '20210507 15:28:56']
['514', 'Fullerton', '1', '20210507 15:29:13']
['522', 'Dempster', '5', '20210507 15:28:47']
['515', 'Sedgwick', '1', '20210507 15:30:36']
['518', 'Sedgwick', '5', '20210507 15:30:37']
['519', 'Merchandise Mart', '5', '20210507 15:30:13']
['522', 'Main', '5', '20210507 15:30:25']
['514', 'Diversey', '1', '20210507 15:31:31']
['515', 'Sedgwick', '1', '20210507 15:31:34']
['518', 'Sedgwick', '5', '20210507 15:31:31']
['520', 'Sheridan', '5', '20210507 15:31:03']
['522', 'Main', '5', '20210507 15:31:32']
['509', 'Linden', '1', '20210507 15:32:19']
['514', 'Wellington', '1', '20210507 15:32:19']
['519', 'Clark/Lake', '5', '20210507 15:32:27']
['520', 'Sheridan', '5', '20210507 15:32:29']
['522', 'South Boulevard', '5', '20210507 15:32:24']
['514', 'Wellington', '1', '20210507 15:33:32']
['518', 'Chicago', '5', '20210507 15:33:39']
['519', 'State/Lake', '5', '20210507 15:33:16']
['522', 'Howard', '5', '20210507 15:33:08']
['523', 'Central', '5', '20210507 15:33:35']
['514', 'Belmont', '1', '20210507 15:34:39']
['515', 'Armitage', '1', '20210507 15:34:18']
['518', 'Chicago', '5', '20210507 15:34:39']
['520', 'Belmont', '5', '20210507 15:34:26']
['515', 'Armitage', '1', '20210507 15:35:37']
['519', 'Washington/Wabash', '5', '20210507 15:35:33']
['520', 'Belmont', '5', '20210507 15:35:33']
['515', 'Fullerton', '1', '20210507 15:36:36']
['518', 'Merchandise Mart', '5', '20210507 15:36:39']
['519', 'Adams/Wabash', '5', '20210507 15:36:17']
['523', 'Davis', '5', '20210507 15:36:21']
['520', 'Diversey', '5', '20210507 15:37:33']
['523', 'Davis', '5', '20210507 15:37:36']
['513', 'Main', '1', '20210507 15:38:26']
['515', 'Diversey', '1', '20210507 15:38:34']
['518', 'Clark/Lake', '5', '20210507 15:38:21']
['519', 'Harold Washington Library-State/Van Buren', '5', '20210507 15:38:32']
['523', 'Davis', '5', '20210507 15:37:36']
['513', 'Main', '1', '20210507 15:39:25']
['515', 'Diversey', '1', '20210507 15:39:23']
['518', 'State/Lake', '5', '20210507 15:39:24']
['519', 'LaSalle/Van Buren', '5', '20210507 15:39:39']
['520', 'Fullerton', '5', '20210507 15:39:35']
['523', 'Dempster', '5', '20210507 15:39:08']
['513', 'Dempster', '1', '20210507 15:39:50']
['514', 'Wilson', '1', '20210507 15:40:40']
['515', 'Wellington', '1', '20210507 15:40:32']
['519', 'Quincy', '5', '20210507 15:40:29']
['523', 'Main', '5', '20210507 15:40:30']
['515', 'Belmont', '1', '20210507 15:41:16']
['518', 'Washington/Wabash', '5', '20210507 15:41:26']
['519', 'Washington/Wells', '5', '20210507 15:41:20']
['520', 'Armitage', '5', '20210507 15:41:31']
['522', 'Wilson', '5', '20210507 15:41:26']
['523', 'Main', '5', '20210507 15:40:42']
['518', 'Adams/Wabash', '5', '20210507 15:42:11']
['523', 'South Boulevard', '5', '20210507 15:42:34']
['507', 'Central', '5', '20210507 15:42:51']
['519', 'Merchandise Mart', '1', '20210507 15:43:35']
['523', 'Howard', '5', '20210507 15:43:14']
['513', 'Noyes', '1', '20210507 15:43:55']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210507 15:44:36']
['522', 'Sheridan', '5', '20210507 15:44:16']
['518', 'LaSalle/Van Buren', '5', '20210507 15:45:21']
['520', 'Sedgwick', '5', '20210507 15:45:31']
['522', 'Sheridan', '5', '20210507 15:44:16']
['507', 'Davis', '5', '20210507 15:46:22']
['518', 'Quincy', '5', '20210507 15:46:17']
['519', 'Chicago', '1', '20210507 15:46:15']
['507', 'Davis', '5', '20210507 15:47:35']
['513', 'Linden', '1', '20210507 15:47:28']
['518', 'Quincy', '5', '20210507 15:47:32']
['507', 'Davis', '5', '20210507 15:47:35']
['513', 'Linden', '1', '20210507 15:48:21']
['518', 'Washington/Wells', '5', '20210507 15:48:36']
['520', 'Chicago', '5', '20210507 15:48:38']
['522', 'Belmont', '5', '20210507 15:48:40']
['518', 'Merchandise Mart', '1', '20210507 15:49:38']
['519', 'Sedgwick', '1', '20210507 15:49:34']
['522', 'Wellington', '5', '20210507 15:49:39']
['507', 'Main', '5', '20210507 15:50:39']
['520', 'Merchandise Mart', '5', '20210507 15:50:39']
['522', 'Diversey', '5', '20210507 15:50:34']
['507', 'Main', '5', '20210507 15:50:39']
['518', 'Chicago', '1', '20210507 15:51:37']
['523', 'Wilson', '5', '20210507 15:51:36']
['507', 'South Boulevard', '5', '20210507 15:52:32']
['514', 'Main', '1', '20210507 15:52:15']
['518', 'Chicago', '1', '20210507 15:52:37']
['522', 'Fullerton', '5', '20210507 15:52:31']
['523', 'Wilson', '5', '20210507 15:52:33']
['507', 'Howard', '5', '20210507 15:53:17']
['509', 'Central', '5', '20210507 15:53:21']
['514', 'Dempster', '1', '20210507 15:53:39']
['519', 'Armitage', '1', '20210507 15:53:39']
['520', 'Clark/Lake', '5', '20210507 15:53:32']
['509', 'Central', '5', '20210507 15:54:09']
['514', 'Dempster', '1', '20210507 15:54:36']
['518', 'Sedgwick', '1', '20210507 15:54:33']
['520', 'State/Lake', '5', '20210507 15:53:53']
['522', 'Armitage', '5', '20210507 15:54:36']
['523', 'Sheridan', '5', '20210507 15:54:22']
['518', 'Sedgwick', '1', '20210507 15:55:39']
['519', 'Fullerton', '1', '20210507 15:55:33']
['523', 'Sheridan', '5', '20210507 15:54:22']
['509', 'Davis', '5', '20210507 15:56:26']
['520', 'Adams/Wabash', '5', '20210507 15:56:35']
['509', 'Davis', '5', '20210507 15:57:29']
['514', 'Noyes', '1', '20210507 15:57:36']
['519', 'Diversey', '1', '20210507 15:57:31']
['522', 'Sedgwick', '5', '20210507 15:57:31']
['509', 'Davis', '5', '20210507 15:58:05']
['515', 'South Boulevard', '1', '20210507 15:58:29']
['518', 'Armitage', '1', '20210507 15:58:35']
['519', 'Diversey', '1', '20210507 15:58:26']
['520', 'Harold Washington Library-State/Van Buren', '5', '20210507 15:58:36']
['523', 'Belmont', '5', '20210507 15:58:28']
['509', 'Dempster', '5', '20210507 15:59:35']
['514', 'Central', '1', '20210507 15:59:25']
['515', 'Main', '1', '20210507 15:59:02']
