'508', 'South Boulevard', '1', '20210423 15:29:17'
'506', 'Davis', '5', '20210423 15:30:37'
'508', 'Main', '1', '20210423 15:29:51'
'514', 'Harold Washington Library-State/Van Buren', '5', '20210423 15:30:36'
'506', 'Davis', '5', '20210423 15:31:27'
'508', 'Dempster', '1', '20210423 15:31:15'
'512', 'Armitage', '1', '20210423 15:31:32'
'514', 'LaSalle/Van Buren', '5', '20210423 15:31:12'
'515', 'Wilson', '5', '20210423 15:31:35'
'506', 'Davis', '5', '20210423 15:31:27'
'514', 'Quincy', '5', '20210423 15:32:09'
'506', 'Dempster', '5', '20210423 15:33:08'
'508', 'Davis', '1', '20210423 15:33:28'
'512', 'Fullerton', '1', '20210423 15:33:37'
'514', 'Washington/Wells', '5', '20210423 15:33:32'
'518', 'Sedgwick', '5', '20210423 15:33:37'
'506', 'Main', '5', '20210423 15:34:28'
'506', 'Main', '5', '20210423 15:34:42'
'508', 'Noyes', '1', '20210423 15:35:09'
'512', 'Diversey', '1', '20210423 15:35:27'
'514', 'Merchandise Mart', '1', '20210423 15:35:24'
'506', 'South Boulevard', '5', '20210423 15:36:32'
'514', 'Merchandise Mart', '1', '20210423 15:36:32'
'518', 'Chicago', '5', '20210423 15:36:33'
'506', 'Howard', '5', '20210423 15:37:17'
'512', 'Wellington', '1', '20210423 15:37:37'
'515', 'Belmont', '5', '20210423 15:37:21'
'508', 'Linden', '1', '20210423 15:38:33'
'514', 'Chicago', '1', '20210423 15:38:16'
'515', 'Wellington', '5', '20210423 15:38:40'
'518', 'Merchandise Mart', '5', '20210423 15:38:36'
'508', 'Linden', '1', '20210423 15:39:24'
'515', 'Wellington', '5', '20210423 15:39:28'
'509', 'South Boulevard', '1', '20210423 15:40:31'
'515', 'Diversey', '5', '20210423 15:40:21'
'509', 'Main', '1', '20210423 15:41:06'
'514', 'Sedgwick', '1', '20210423 15:41:33'
'515', 'Fullerton', '5', '20210423 15:41:37'
'518', 'State/Lake', '5', '20210423 15:41:31'
'504', 'Central', '5', '20210423 15:42:03'
'509', 'Dempster', '1', '20210423 15:42:35'
'514', 'Sedgwick', '1', '20210423 15:42:35'
'515', 'Fullerton', '5', '20210423 15:42:39'
'509', 'Dempster', '1', '20210423 15:43:39'
'518', 'Adams/Wabash', '5', '20210423 15:43:37'
'504', 'Davis', '5', '20210423 15:44:20'
'506', 'Wilson', '5', '20210423 15:44:34'
'512', 'Wilson', '1', '20210423 15:44:26'
'518', 'Adams/Wabash', '5', '20210423 15:44:39'
'504', 'Davis', '5', '20210423 15:45:22'
'506', 'Wilson', '5', '20210423 15:45:39'
'514', 'Armitage', '1', '20210423 15:45:36'
'518', 'Harold Washington Library-State/Van Buren', '5', '20210423 15:45:36'
'504', 'Davis', '5', '20210423 15:46:03'
'518', 'LaSalle/Van Buren', '5', '20210423 15:46:33'
'504', 'Dempster', '5', '20210423 15:47:36'
'509', 'Noyes', '1', '20210423 15:47:14'
'514', 'Fullerton', '1', '20210423 15:47:32'
'518', 'Quincy', '5', '20210423 15:47:20'
'504', 'Dempster', '5', '20210423 15:47:36'
'515', 'Sedgwick', '5', '20210423 15:48:32'
'518', 'Washington/Wells', '5', '20210423 15:48:39'
'504', 'Main', '5', '20210423 15:49:11'
'509', 'Central', '1', '20210423 15:49:28'
'514', 'Diversey', '1', '20210423 15:49:37'
'504', 'South Boulevard', '5', '20210423 15:50:32'
'509', 'Linden', '1', '20210423 15:49:42'
'518', 'Merchandise Mart', '1', '20210423 15:50:27'
'504', 'South Boulevard', '5', '20210423 15:51:02'
'506', 'Belmont', '5', '20210423 15:51:36'
'509', 'Linden', '1', '20210423 15:51:06'
'514', 'Wellington', '1', '20210423 15:51:38'
'515', 'Chicago', '5', '20210423 15:51:27'
'504', 'Howard', '5', '20210423 15:51:52'
'506', 'Wellington', '5', '20210423 15:51:49'
'512', 'South Boulevard', '1', '20210423 15:52:03'
'514', 'Belmont', '1', '20210423 15:52:35'
'518', 'Chicago', '1', '20210423 15:52:26'
'506', 'Diversey', '5', '20210423 15:53:26'
'512', 'South Boulevard', '1', '20210423 15:52:03'
'515', 'Merchandise Mart', '5', '20210423 15:53:33'
'506', 'Diversey', '5', '20210423 15:54:20'
'507', 'Central', '5', '20210423 15:54:38'
'512', 'South Boulevard', '1', '20210423 15:52:03'
'506', 'Fullerton', '5', '20210423 15:55:31'
'512', 'Main', '1', '20210423 15:55:29'
'512', 'Main', '1', '20210423 15:56:27'
'515', 'Clark/Lake', '5', '20210423 15:55:44'
'518', 'Sedgwick', '1', '20210423 15:56:33'
'506', 'Armitage', '5', '20210423 15:57:28'
'507', 'Davis', '5', '20210423 15:57:24'
'512', 'Dempster', '1', '20210423 15:56:52'
'515', 'Clark/Lake', '5', '20210423 15:57:39'
'507', 'Davis', '5', '20210423 15:58:04'
'514', 'Wilson', '1', '20210423 15:58:37'
'515', 'State/Lake', '5', '20210423 15:58:32'
'507', 'Davis', '5', '20210423 15:58:46'
'515', 'State/Lake', '5', '20210423 15:59:37'
'504', 'Wilson', '5', '20210423 16:00:38'
'506', 'Sedgwick', '5', '20210423 16:00:15'
'507', 'Dempster', '5', '20210423 16:00:29'
'512', 'Foster', '1', '20210423 16:00:22'
