['507', 'Linden', '1', '1', '20210514 06:03:28']
['501', 'Belmont', '1', '5', '20210514 06:04:29']
['502', 'Sedgwick', '1', '1', '20210514 06:04:26']
['503', 'State/Lake', '1', '5', '20210514 06:04:25']
['504', 'Wilson', '0', '5', '20210514 06:09:27']
['507', 'Linden', '1', '1', '20210514 06:04:20']
['501', 'Wellington', '1', '5', '20210514 06:05:28']
['502', 'Sedgwick', '1', '1', '20210514 06:05:28']
['503', 'State/Lake', '1', '5', '20210514 06:05:39']
['504', 'Wilson', '0', '5', '20210514 06:10:06']
['506', 'Central', '1', '5', '20210514 06:05:13']
['501', 'Diversey', '1', '5', '20210514 06:06:22']
['502', 'Armitage', '0', '1', '20210514 06:08:30']
['503', 'Washington/Wabash', '1', '5', '20210514 06:06:37']
['504', 'Wilson', '0', '5', '20210514 06:08:31']
['506', 'Davis', '0', '5', '20210514 06:08:32']
['509', 'Main', '1', '1', '20210514 06:06:25']
['501', 'Fullerton', '0', '5', '20210514 06:07:53']
['502', 'Armitage', '0', '1', '20210514 06:08:34']
['503', 'Adams/Wabash', '1', '5', '20210514 06:07:30']
['504', 'Wilson', '0', '5', '20210514 06:08:33']
['506', 'Davis', '0', '5', '20210514 06:08:32']
['509', 'Main', '1', '1', '20210514 06:07:27']
['501', 'Fullerton', '1', '5', '20210514 06:08:37']
['502', 'Armitage', '1', '1', '20210514 06:08:35']
['503', 'LaSalle/Van Buren', '0', '5', '20210514 06:09:18']
['504', 'Wilson', '1', '5', '20210514 06:08:31']
['506', 'Noyes', '1', '5', '20210514 06:08:12']
['509', 'Dempster', '1', '1', '20210514 06:07:50']
['501', 'Armitage', '0', '5', '20210514 06:10:00']
['502', 'Fullerton', '0', '1', '20210514 06:10:40']
['503', 'LaSalle/Van Buren', '1', '5', '20210514 06:09:34']
['504', 'Sheridan', '0', '5', '20210514 06:11:03']
['506', 'Davis', '1', '5', '20210514 06:09:18']
['509', 'Davis', '0', '1', '20210514 06:10:06']
['501', 'Sedgwick', '0', '5', '20210514 06:12:33']
['502', 'Fullerton', '1', '1', '20210514 06:10:38']
['503', 'LaSalle/Van Buren', '1', '5', '20210514 06:10:37']
['504', 'Sheridan', '0', '5', '20210514 06:11:38']
['506', 'Davis', '1', '5', '20210514 06:10:04']
['509', 'Foster', '0', '1', '20210514 06:11:15']
['501', 'Sedgwick', '0', '5', '20210514 06:12:31']
['502', 'Diversey', '0', '1', '20210514 06:12:37']
['503', 'Quincy', '1', '5', '20210514 06:11:38']
['504', 'Sheridan', '1', '5', '20210514 06:11:39']
['506', 'Davis', '1', '5', '20210514 06:11:34']
['509', 'Foster', '1', '1', '20210514 06:11:21']
['501', 'Sedgwick', '0', '5', '20210514 06:13:37']
['502', 'Diversey', '1', '1', '20210514 06:12:30']
['503', 'Washington/Wells', '1', '5', '20210514 06:12:25']
['504', 'Belmont', '0', '5', '20210514 06:14:19']
['506', 'Main', '0', '5', '20210514 06:12:54']
['509', 'Noyes', '1', '1', '20210514 06:11:41']
['501', 'Sedgwick', '1', '5', '20210514 06:13:10']
['502', 'Diversey', '1', '1', '20210514 06:13:25']
['503', 'Merchandise Mart', '0', '1', '20210514 06:14:28']
['504', 'Belmont', '0', '5', '20210514 06:14:36']
['506', 'Main', '1', '5', '20210514 06:13:25']
['509', 'Central', '1', '1', '20210514 06:13:25']
['501', 'Chicago', '0', '5', '20210514 06:16:34']
['502', 'Wellington', '1', '1', '20210514 06:14:33']
['503', 'Merchandise Mart', '1', '1', '20210514 06:14:39']
['504', 'Wellington', '1', '5', '20210514 06:14:23']
['506', 'Main', '1', '5', '20210514 06:14:32']
['509', 'Linden', '1', '1', '20210514 06:13:54']
