['501', 'Sedgwick', '1', '20210511 06:38:37']
['502', 'South Boulevard', '1', '20210511 06:38:15']
['506', 'Fullerton', '5', '20210511 06:38:40']
['509', 'Davis', '5', '20210511 06:38:29']
['501', 'Sedgwick', '1', '20210511 06:39:29']
['502', 'Main', '1', '20210511 06:38:51']
['504', 'Harold Washington Library-State/Van Buren', '5', '20210511 06:39:09']
['508', 'Sheridan', '5', '20210511 06:39:23']
['509', 'Davis', '5', '20210511 06:39:10']
['502', 'Dempster', '1', '20210511 06:40:15']
['504', 'LaSalle/Van Buren', '5', '20210511 06:40:17']
['506', 'Armitage', '5', '20210511 06:40:40']
['508', 'Sheridan', '5', '20210511 06:40:27']
['509', 'Davis', '5', '20210511 06:40:18']
['504', 'LaSalle/Van Buren', '5', '20210511 06:41:35']
['506', 'Armitage', '5', '20210511 06:41:29']
['509', 'Dempster', '5', '20210511 06:40:42']
['501', 'Armitage', '1', '20210511 06:42:22']
['504', 'Quincy', '5', '20210511 06:42:34']
['508', 'Belmont', '5', '20210511 06:42:27']
['509', 'Main', '5', '20210511 06:42:07']
['501', 'Armitage', '1', '20210511 06:43:32']
['503', 'Wilson', '1', '20210511 06:43:35']
['504', 'Washington/Wells', '5', '20210511 06:43:35']
['508', 'Belmont', '5', '20210511 06:42:27']
['509', 'South Boulevard', '5', '20210511 06:43:28']
['502', 'Noyes', '1', '20210511 06:44:36']
['506', 'Sedgwick', '5', '20210511 06:44:35']
['508', 'Belmont', '5', '20210511 06:44:27']
['509', 'Howard', '5', '20210511 06:44:35']
['501', 'Fullerton', '1', '20210511 06:45:16']
['506', 'Sedgwick', '5', '20210511 06:45:31']
['508', 'Wellington', '5', '20210511 06:45:38']
['509', 'Howard', '5', '20210511 06:44:35']
['501', 'Diversey', '1', '20210511 06:46:37']
['502', 'Central', '1', '20210511 06:46:36']
['508', 'Diversey', '5', '20210511 06:46:32']
['510', 'Central', '5', '20210511 06:46:22']
['501', 'Diversey', '1', '20210511 06:47:30']
['504', 'Merchandise Mart', '1', '20210511 06:47:20']
['510', 'Central', '5', '20210511 06:47:10']
['501', 'Wellington', '1', '20210511 06:47:53']
['502', 'Linden', '1', '20210511 06:48:23']
['506', 'Chicago', '5', '20210511 06:48:20']
['508', 'Fullerton', '5', '20210511 06:48:39']
['501', 'Belmont', '1', '20210511 06:49:23']
['504', 'Chicago', '1', '20210511 06:49:15']
['510', 'Davis', '5', '20210511 06:49:25']
['506', 'Merchandise Mart', '5', '20210511 06:50:30']
['508', 'Armitage', '5', '20210511 06:50:23']
['510', 'Davis', '5', '20210511 06:50:26']
['508', 'Armitage', '5', '20210511 06:50:43']
['510', 'Davis', '5', '20210511 06:51:14']
['513', 'Main', '1', '20210511 06:51:33']
['504', 'Sedgwick', '1', '20210511 06:52:35']
['509', 'Wilson', '5', '20210511 06:52:34']
['510', 'Davis', '5', '20210511 06:52:23']
['513', 'Main', '1', '20210511 06:51:40']
['504', 'Sedgwick', '1', '20210511 06:53:29']
['506', 'State/Lake', '5', '20210511 06:53:35']
['510', 'Dempster', '5', '20210511 06:52:40']
['513', 'Dempster', '1', '20210511 06:53:29']
['506', 'State/Lake', '5', '20210511 06:54:25']
['510', 'Main', '5', '20210511 06:54:08']
['513', 'Dempster', '1', '20210511 06:54:31']
['503', 'South Boulevard', '1', '20210511 06:55:29']
['506', 'Washington/Wabash', '5', '20210511 06:55:35']
['508', 'Sedgwick', '5', '20210511 06:55:37']
['509', 'Sheridan', '5', '20210511 06:54:47']
['510', 'South Boulevard', '5', '20210511 06:55:32']
['503', 'Main', '1', '20210511 06:56:08']
['504', 'Armitage', '1', '20210511 06:56:25']
['506', 'Adams/Wabash', '5', '20210511 06:56:25']
['510', 'South Boulevard', '5', '20210511 06:56:01']
['511', 'Central', '5', '20210511 06:56:09']
['503', 'Dempster', '1', '20210511 06:57:31']
['504', 'Armitage', '1', '20210511 06:57:35']
['510', 'Howard', '5', '20210511 06:56:43']
['511', 'Central', '5', '20210511 06:57:05']
['513', 'Foster', '1', '20210511 06:57:23']
['503', 'Dempster', '1', '20210511 06:58:29']
['506', 'LaSalle/Van Buren', '5', '20210511 06:58:38']
['508', 'Chicago', '5', '20210511 06:58:37']
['509', 'Belmont', '5', '20210511 06:57:42']
['513', 'Noyes', '1', '20210511 06:57:47']
['506', 'LaSalle/Van Buren', '5', '20210511 06:59:00']
['509', 'Belmont', '5', '20210511 06:59:35']
['511', 'Davis', '5', '20210511 06:59:26']
['513', 'Central', '1', '20210511 06:59:32']
['504', 'Diversey', '1', '20210511 07:00:31']
['506', 'Quincy', '5', '20210511 07:00:02']
['508', 'Merchandise Mart', '5', '20210511 07:00:37']
['509', 'Belmont', '5', '20210511 07:00:26']
['511', 'Davis', '5', '20210511 07:00:34']
['503', 'Noyes', '1', '20210511 07:01:36']
['504', 'Diversey', '1', '20210511 07:01:27']
['506', 'Washington/Wells', '5', '20210511 07:01:33']
['509', 'Wellington', '5', '20210511 07:01:31']
['511', 'Davis', '5', '20210511 07:01:15']
['513', 'Linden', '1', '20210511 07:01:08']
['503', 'Noyes', '1', '20210511 07:01:36']
['504', 'Wellington', '1', '20210511 07:02:37']
['506', 'Washington/Wells', '5', '20210511 07:02:38']
['509', 'Diversey', '5', '20210511 07:02:24']
['511', 'Davis', '5', '20210511 07:02:26']
['513', 'Linden', '1', '20210511 07:02:27']
['503', 'Central', '1', '20210511 07:03:38']
['504', 'Belmont', '1', '20210511 07:03:25']
['508', 'Clark/Lake', '5', '20210511 07:03:36']
['511', 'Dempster', '5', '20210511 07:02:49']
['508', 'State/Lake', '5', '20210511 07:04:20']
['509', 'Fullerton', '5', '20210511 07:04:31']
['510', 'Wilson', '5', '20210511 07:04:37']
['511', 'Main', '5', '20210511 07:04:27']
['503', 'Linden', '1', '20210511 07:04:54']
['506', 'Merchandise Mart', '1', '20210511 07:05:21']
['510', 'Wilson', '5', '20210511 07:05:35']
['511', 'Main', '5', '20210511 07:05:28']
['508', 'Adams/Wabash', '5', '20210511 07:06:35']
['509', 'Armitage', '5', '20210511 07:06:19']
['511', 'South Boulevard', '5', '20210511 07:06:18']
['512', 'Central', '5', '20210511 07:06:12']
['506', 'Chicago', '1', '20210511 07:07:35']
['508', 'Adams/Wabash', '5', '20210511 07:07:39']
['510', 'Sheridan', '5', '20210511 07:07:35']
['511', 'Howard', '5', '20210511 07:07:06']
['512', 'Central', '5', '20210511 07:07:01']
['501', 'South Boulevard', '1', '20210511 07:08:32']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210511 07:08:32']
['510', 'Sheridan', '5', '20210511 07:08:36']
['501', 'Main', '1', '20210511 07:08:59']
['508', 'LaSalle/Van Buren', '5', '20210511 07:09:36']
['512', 'Davis', '5', '20210511 07:09:26']
['501', 'Dempster', '1', '20210511 07:10:27']
['504', 'Wilson', '1', '20210511 07:10:30']
['506', 'Sedgwick', '1', '20210511 07:10:33']
['508', 'LaSalle/Van Buren', '5', '20210511 07:10:35']
['509', 'Sedgwick', '5', '20210511 07:10:08']
['510', 'Belmont', '5', '20210511 07:10:39']
['512', 'Davis', '5', '20210511 07:10:29']
['501', 'Dempster', '1', '20210511 07:11:25']
['506', 'Sedgwick', '1', '20210511 07:11:27']
['508', 'Quincy', '5', '20210511 07:11:39']
['510', 'Belmont', '5', '20210511 07:11:39']
['512', 'Davis', '5', '20210511 07:11:10']
['508', 'Washington/Wells', '5', '20210511 07:12:13']
['510', 'Wellington', '5', '20210511 07:12:06']
['512', 'Dempster', '5', '20210511 07:12:37']
['509', 'Chicago', '5', '20210511 07:13:38']
['510', 'Diversey', '5', '20210511 07:13:33']
['512', 'Dempster', '5', '20210511 07:12:37']
['501', 'Noyes', '1', '20210511 07:14:31']
['506', 'Armitage', '1', '20210511 07:14:34']
['510', 'Diversey', '5', '20210511 07:14:31']
['512', 'Main', '5', '20210511 07:14:07']
['506', 'Armitage', '1', '20210511 07:15:36']
['509', 'Merchandise Mart', '5', '20210511 07:15:31']
['510', 'Fullerton', '5', '20210511 07:15:12']
['512', 'South Boulevard', '5', '20210511 07:15:31']
['501', 'Central', '1', '20210511 07:16:36']
['508', 'Merchandise Mart', '1', '20210511 07:16:01']
['510', 'Fullerton', '5', '20210511 07:16:28']
['511', 'Wilson', '5', '20210511 07:16:34']
['512', 'South Boulevard', '5', '20210511 07:16:01']
['503', 'Central', '5', '20210511 07:17:23']
['506', 'Fullerton', '1', '20210511 07:17:27']
['509', 'Clark/Lake', '5', '20210511 07:17:37']
['511', 'Wilson', '5', '20210511 07:17:33']
['512', 'Howard', '5', '20210511 07:16:42']
['501', 'Linden', '1', '20210511 07:18:23']
['503', 'Central', '5', '20210511 07:17:54']
['508', 'Chicago', '1', '20210511 07:18:10']
['509', 'Clark/Lake', '5', '20210511 07:17:37']
['510', 'Armitage', '5', '20210511 07:18:26']
['506', 'Diversey', '1', '20210511 07:19:25']
['509', 'State/Lake', '5', '20210511 07:19:20']
['510', 'Armitage', '5', '20210511 07:19:28']
['503', 'Davis', '5', '20210511 07:20:37']
['506', 'Wellington', '1', '20210511 07:20:14']
['511', 'Sheridan', '5', '20210511 07:19:50']
['503', 'Davis', '5', '20210511 07:21:21']
['504', 'South Boulevard', '1', '20210511 07:21:28']
['506', 'Wellington', '1', '20210511 07:21:34']
['508', 'Sedgwick', '1', '20210511 07:21:36']
['509', 'Adams/Wabash', '5', '20210511 07:21:39']
['503', 'Davis', '5', '20210511 07:21:57']
['504', 'Main', '1', '20210511 07:21:56']
['506', 'Belmont', '1', '20210511 07:22:38']
['503', 'Dempster', '5', '20210511 07:23:24']
['504', 'Dempster', '1', '20210511 07:23:21']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210511 07:23:36']
['510', 'Sedgwick', '5', '20210511 07:23:36']
['511', 'Belmont', '5', '20210511 07:23:37']
['503', 'Dempster', '5', '20210511 07:23:24']
['509', 'LaSalle/Van Buren', '5', '20210511 07:24:11']
['511', 'Wellington', '5', '20210511 07:24:01']
['512', 'Wilson', '5', '20210511 07:24:33']
['503', 'Main', '5', '20210511 07:24:49']
['504', 'Davis', '1', '20210511 07:25:31']
['508', 'Armitage', '1', '20210511 07:25:25']
['509', 'Quincy', '5', '20210511 07:25:37']
['511', 'Diversey', '5', '20210511 07:25:30']
['512', 'Wilson', '5', '20210511 07:25:31']
['513', 'Central', '5', '20210511 07:25:33']
['503', 'South Boulevard', '5', '20210511 07:26:18']
['509', 'Washington/Wells', '5', '20210511 07:26:24']
['510', 'Chicago', '5', '20210511 07:26:36']
['511', 'Diversey', '5', '20210511 07:26:19']
['503', 'Howard', '5', '20210511 07:27:30']
['504', 'Noyes', '1', '20210511 07:27:12']
['508', 'Fullerton', '1', '20210511 07:27:34']
['512', 'Sheridan', '5', '20210511 07:27:38']
['503', 'Howard', '5', '20210511 07:28:33']
['510', 'Merchandise Mart', '5', '20210511 07:28:32']
['512', 'Sheridan', '5', '20210511 07:27:38']
['513', 'Davis', '5', '20210511 07:28:22']
['508', 'Diversey', '1', '20210511 07:29:19']
['510', 'Merchandise Mart', '5', '20210511 07:29:23']
['511', 'Armitage', '5', '20210511 07:29:39']
['513', 'Davis', '5', '20210511 07:29:03']
['504', 'Linden', '1', '20210511 07:30:28']
['508', 'Wellington', '1', '20210511 07:30:09']
['509', 'Chicago', '1', '20210511 07:30:30']
['511', 'Armitage', '5', '20210511 07:30:00']
['513', 'Davis', '5', '20210511 07:29:46']
['504', 'Linden', '1', '20210511 07:31:22']
['508', 'Wellington', '1', '20210511 07:31:35']
['512', 'Belmont', '5', '20210511 07:31:31']
['513', 'Dempster', '5', '20210511 07:31:16']
['512', 'Wellington', '5', '20210511 07:32:28']
['513', 'Dempster', '5', '20210511 07:31:16']
['509', 'Sedgwick', '1', '20210511 07:33:34']
['510', 'State/Lake', '5', '20210511 07:33:23']
['512', 'Diversey', '5', '20210511 07:33:21']
['513', 'Main', '5', '20210511 07:32:50']
['509', 'Sedgwick', '1', '20210511 07:34:36']
['510', 'State/Lake', '5', '20210511 07:34:30']
['511', 'Sedgwick', '5', '20210511 07:34:38']
['513', 'South Boulevard', '5', '20210511 07:34:13']
['514', 'Central', '5', '20210511 07:34:35']
['503', 'Wilson', '5', '20210511 07:35:33']
['510', 'Washington/Wabash', '5', '20210511 07:35:34']
['512', 'Fullerton', '5', '20210511 07:35:39']
['513', 'Howard', '5', '20210511 07:35:27']
['503', 'Wilson', '5', '20210511 07:36:35']
['510', 'Adams/Wabash', '5', '20210511 07:36:27']
['513', 'Howard', '5', '20210511 07:35:27']
['509', 'Armitage', '1', '20210511 07:37:21']
['511', 'Chicago', '5', '20210511 07:37:37']
['512', 'Armitage', '5', '20210511 07:37:23']
['514', 'Davis', '5', '20210511 07:37:19']
['503', 'Sheridan', '5', '20210511 07:38:20']
['509', 'Armitage', '1', '20210511 07:38:36']
['510', 'Harold Washington Library-State/Van Buren', '5', '20210511 07:38:13']
['512', 'Armitage', '5', '20210511 07:37:44']
['514', 'Davis', '5', '20210511 07:38:34']
['503', 'Sheridan', '5', '20210511 07:39:24']
['509', 'Fullerton', '1', '20210511 07:39:32']
['510', 'Harold Washington Library-State/Van Buren', '5', '20210511 07:39:38']
['512', 'Armitage', '5', '20210511 07:39:18']
['514', 'Davis', '5', '20210511 07:38:34']
['509', 'Fullerton', '1', '20210511 07:40:18']
['510', 'LaSalle/Van Buren', '5', '20210511 07:40:29']
['511', 'Merchandise Mart', '5', '20210511 07:40:35']
['514', 'Davis', '5', '20210511 07:39:49']
['503', 'Belmont', '5', '20210511 07:41:35']
['506', 'Main', '1', '20210511 07:41:16']
['509', 'Diversey', '1', '20210511 07:41:31']
['510', 'Quincy', '5', '20210511 07:41:28']
['514', 'Dempster', '5', '20210511 07:41:27']
['503', 'Wellington', '5', '20210511 07:42:29']
['504', 'Central', '5', '20210511 07:42:22']
['506', 'Main', '1', '20210511 07:42:26']
['509', 'Diversey', '1', '20210511 07:42:30']
['510', 'Quincy', '5', '20210511 07:42:35']
['514', 'Dempster', '5', '20210511 07:41:27']
['503', 'Wellington', '5', '20210511 07:43:18']
['504', 'Central', '5', '20210511 07:43:08']
['506', 'Dempster', '1', '20210511 07:42:49']
['509', 'Wellington', '1', '20210511 07:43:37']
['510', 'Washington/Wells', '5', '20210511 07:43:35']
['511', 'State/Lake', '5', '20210511 07:43:29']
['512', 'Sedgwick', '5', '20210511 07:43:34']
['513', 'Wilson', '5', '20210511 07:43:33']
['514', 'Main', '5', '20210511 07:43:04']
['503', 'Diversey', '5', '20210511 07:44:10']
['509', 'Belmont', '1', '20210511 07:44:22']
['511', 'State/Lake', '5', '20210511 07:44:36']
['513', 'Wilson', '5', '20210511 07:44:30']
['514', 'South Boulevard', '5', '20210511 07:44:22']
