['513', 'Merchandise Mart', '1', '5', '20210514 14:51:13']
['514', 'Belmont', '0', '5', '20210514 14:53:19']
['515', 'Wilson', '0', '5', '20210514 14:52:35']
['519', 'Dempster', '0', '5', '20210514 14:52:09']
['506', 'Davis', '1', '1', '20210514 14:52:32']
['513', 'Merchandise Mart', '1', '5', '20210514 14:51:13']
['514', 'Belmont', '0', '5', '20210514 14:53:36']
['515', 'Wilson', '1', '5', '20210514 14:52:34']
['519', 'Main', '1', '5', '20210514 14:52:33']
['506', 'Foster', '0', '1', '20210514 14:53:42']
['513', 'Merchandise Mart', '1', '5', '20210514 14:53:18']
['514', 'Belmont', '1', '5', '20210514 14:53:27']
['515', 'Sheridan', '0', '5', '20210514 14:55:07']
['519', 'Main', '1', '5', '20210514 14:52:33']
['506', 'Noyes', '1', '1', '20210514 14:54:24']
['513', 'Clark/Lake', '0', '5', '20210514 14:55:56']
['514', 'Wellington', '1', '5', '20210514 14:54:17']
['515', 'Sheridan', '0', '5', '20210514 14:55:33']
['519', 'South Boulevard', '1', '5', '20210514 14:54:31']
['506', 'Central', '0', '1', '20210514 14:56:28']
['513', 'Clark/Lake', '1', '5', '20210514 14:55:38']
['514', 'Diversey', '1', '5', '20210514 14:55:38']
['515', 'Sheridan', '1', '5', '20210514 14:54:49']
['518', 'Central', '1', '5', '20210514 14:55:38']
['519', 'Howard', '1', '5', '20210514 14:55:15']
['506', 'Central', '1', '1', '20210514 14:56:24']
['513', 'State/Lake', '1', '5', '20210514 14:56:25']
['514', 'Fullerton', '1', '5', '20210514 14:56:21']
['515', 'Belmont', '0', '5', '20210514 14:58:34']
['518', 'Central', '1', '5', '20210514 14:56:10']
['519', 'Wilson', '0', '5', '20210514 15:05:37']
['506', 'Linden', '0', '1', '20210514 14:57:48']
['513', 'State/Lake', '1', '5', '20210514 14:57:33']
['514', 'Armitage', '0', '5', '20210514 14:58:31']
['515', 'Belmont', '0', '5', '20210514 14:58:35']
['518', 'Davis', '0', '5', '20210514 14:58:04']
['519', 'Wilson', '0', '5', '20210514 15:06:02']
['506', 'Linden', '1', '1', '20210514 14:58:14']
['508', 'Main', '1', '1', '20210514 14:58:31']
['513', 'Washington/Wabash', '1', '5', '20210514 14:58:26']
['514', 'Armitage', '1', '5', '20210514 14:58:33']
['515', 'Belmont', '1', '5', '20210514 14:58:35']
['518', 'Davis', '1', '5', '20210514 14:58:21']
['519', 'Wilson', '0', '5', '20210514 15:06:02']
['508', 'Main', '1', '1', '20210514 14:59:29']
['513', 'Adams/Wabash', '1', '5', '20210514 14:59:22']
['514', 'Sedgwick', '0', '5', '20210514 15:01:31']
['515', 'Wellington', '1', '5', '20210514 14:59:27']
['518', 'Davis', '1', '5', '20210514 14:59:30']
['519', 'Wilson', '0', '5', '20210514 15:06:02']
['508', 'Dempster', '1', '1', '20210514 14:59:56']
['513', 'LaSalle/Van Buren', '0', '5', '20210514 15:01:18']
['514', 'Sedgwick', '0', '5', '20210514 15:01:36']
['515', 'Diversey', '1', '5', '20210514 15:00:38']
['518', 'Davis', '1', '5', '20210514 15:00:05']
['519', 'Wilson', '0', '5', '20210514 15:06:25']
['508', 'Davis', '0', '1', '20210514 15:02:15']
['513', 'LaSalle/Van Buren', '1', '5', '20210514 15:01:37']
['514', 'Sedgwick', '0', '5', '20210514 15:02:11']
['515', 'Fullerton', '0', '5', '20210514 15:02:36']
['518', 'Davis', '1', '5', '20210514 15:01:20']
['519', 'Wilson', '0', '5', '20210514 15:06:06']
['508', 'Foster', '0', '1', '20210514 15:03:30']
['513', 'LaSalle/Van Buren', '1', '5', '20210514 15:02:38']
['514', 'Sedgwick', '1', '5', '20210514 15:02:40']
['515', 'Fullerton', '1', '5', '20210514 15:02:32']
['518', 'Davis', '1', '5', '20210514 15:01:20']
['519', 'Wilson', '0', '5', '20210514 15:04:31']
['508', 'Foster', '0', '1', '20210514 15:03:30']
['513', 'Quincy', '1', '5', '20210514 15:03:29']
['514', 'Chicago', '0', '5', '20210514 15:05:31']
['515', 'Armitage', '0', '5', '20210514 15:04:12']
['518', 'Dempster', '1', '5', '20210514 15:02:47']
['519', 'Wilson', '0', '5', '20210514 15:04:26']
['508', 'Noyes', '1', '1', '20210514 15:04:16']
['513', 'Washington/Wells', '1', '5', '20210514 15:04:59']
['514', 'Chicago', '1', '5', '20210514 15:04:53']
['515', 'Sedgwick', '0', '5', '20210514 15:07:45']
['518', 'Main', '1', '5', '20210514 15:04:12']
['519', 'Wilson', '1', '5', '20210514 15:04:58']
['508', 'Central', '0', '1', '20210514 15:06:17']
['513', 'Merchandise Mart', '0', '1', '20210514 15:07:29']
['514', 'Chicago', '1', '5', '20210514 15:05:37']
['515', 'Sedgwick', '0', '5', '20210514 15:07:36']
['518', 'Main', '1', '5', '20210514 15:05:22']
['519', 'Sheridan', '0', '5', '20210514 15:07:21']
