'506', 'Sedgwick', '5', '20210423 06:40:39'
'507', 'Main', '5', '20210423 06:39:51'
'501', 'Armitage', '1', '20210423 06:41:36'
'502', 'LaSalle/Van Buren', '5', '20210423 06:41:28'
'503', 'South Boulevard', '1', '20210423 06:38:27'
'507', 'South Boulevard', '5', '20210423 06:41:08'
'502', 'Quincy', '5', '20210423 06:42:29'
'507', 'Howard', '5', '20210423 06:42:19'
'501', 'Fullerton', '1', '20210423 06:43:26'
'502', 'Washington/Wells', '5', '20210423 06:43:24'
'503', 'Main', '1', '20210423 06:43:20'
'506', 'Chicago', '5', '20210423 06:43:29'
'503', 'Dempster', '1', '20210423 06:44:39'
'501', 'Diversey', '1', '20210423 06:45:22'
'502', 'Merchandise Mart', '1', '20210423 06:45:37'
'506', 'Merchandise Mart', '5', '20210423 06:45:28'
'501', 'Wellington', '1', '20210423 06:46:08'
'501', 'Wellington', '1', '20210423 06:47:35'
'502', 'Chicago', '1', '20210423 06:47:21'
'503', 'Foster', '1', '20210423 06:47:18'
'504', 'Belmont', '5', '20210423 06:47:37'
'503', 'Noyes', '1', '20210423 06:47:41'
'504', 'Wellington', '5', '20210423 06:48:36'
'506', 'Clark/Lake', '5', '20210423 06:47:44'
'503', 'Central', '1', '20210423 06:49:30'
'504', 'Diversey', '5', '20210423 06:49:27'
'506', 'State/Lake', '5', '20210423 06:49:31'
'502', 'Sedgwick', '1', '20210423 06:50:37'
'503', 'Linden', '1', '20210423 06:49:51'
'506', 'State/Lake', '5', '20210423 06:50:34'
'508', 'Central', '5', '20210423 06:49:57'
'502', 'Sedgwick', '1', '20210423 06:51:37'
'503', 'Linden', '1', '20210423 06:51:13'
'504', 'Fullerton', '5', '20210423 06:51:34'
'506', 'Washington/Wabash', '5', '20210423 06:51:39'
'506', 'Adams/Wabash', '5', '20210423 06:52:21'
'507', 'Wilson', '5', '20210423 06:52:39'
'508', 'Davis', '5', '20210423 06:52:35'
'504', 'Armitage', '5', '20210423 06:53:30'
'508', 'Davis', '5', '20210423 06:53:09'
'501', 'Wilson', '1', '20210423 06:54:39'
'502', 'Armitage', '1', '20210423 06:54:38'
'506', 'LaSalle/Van Buren', '5', '20210423 06:54:34'
'508', 'Davis', '5', '20210423 06:53:51'
'502', 'Armitage', '1', '20210423 06:55:33'
'506', 'LaSalle/Van Buren', '5', '20210423 06:54:53'
'508', 'Dempster', '5', '20210423 06:55:15'
'502', 'Fullerton', '1', '20210423 06:56:38'
'504', 'Sedgwick', '5', '20210423 06:56:24'
'506', 'Quincy', '5', '20210423 06:56:17'
'508', 'Main', '5', '20210423 06:56:36'
'506', 'Washington/Wells', '5', '20210423 06:57:24'
'508', 'Main', '5', '20210423 06:57:36'
'502', 'Diversey', '1', '20210423 06:58:24'
'507', 'Belmont', '5', '20210423 06:58:32'
'508', 'South Boulevard', '5', '20210423 06:58:28'
'504', 'Chicago', '5', '20210423 06:59:30'
'506', 'Merchandise Mart', '1', '20210423 06:59:39'
'507', 'Wellington', '5', '20210423 06:59:25'
'508', 'Howard', '5', '20210423 06:59:07'
'502', 'Wellington', '1', '20210423 07:00:25'
'504', 'Chicago', '5', '20210423 07:00:32'
'507', 'Diversey', '5', '20210423 07:00:34'
'502', 'Belmont', '1', '20210423 07:01:17'
'506', 'Chicago', '1', '20210423 07:01:30'
'507', 'Diversey', '5', '20210423 07:01:29'
'504', 'Merchandise Mart', '5', '20210423 07:02:37'
